datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,VRSN,0.231197,-11.19073,0.086365,0.450014,0.133,-48.403,-55.49,-0.662,12.348,1.685,29.614,42.245690237,39.197119968
2001-11-14,VRSN,0.255155,-0.386735,0.115703,0.565717,0.15,-1.516,-1.91,-0.666,10.589,1.709,27.397,39.8102402455,25.4785537571
2002-03-19,VRSN,0.283799,-0.40111,-0.259663,0.306054,0.159,-1.413,-1.3,-0.515,6.99,1.057,31.007,24.8058245637,8.98391517841
2002-05-15,VRSN,0.327816,-0.03971,-0.119937,0.186117,0.162,-0.121,-0.17,-0.217,2.37,0.402,27.529,9.3756309113,4.3344197401
2002-08-14,VRSN,0.317409,-4.802535,-0.008824,0.177293,0.596,-15.13,-20.31,-0.243,1.153,0.809,7.136,4.91347778004,7.09346098921
2002-11-13,VRSN,0.301441,-0.079672,0.035357,0.21265,0.607,-0.264,-0.34,-0.374,1.618,1.231,6.825,7.14455434567,7.60439455385
2003-03-31,VRSN,0.275002,-0.03938,0.069638,0.282288,0.514,-0.143,-0.14,-0.42,1.705,1.319,6.654,7.44259892505,10.7296048576
2003-05-14,VRSN,0.269758,-0.053436,0.035689,0.317977,0.543,-0.198,-0.22,-0.613,2.62,1.986,6.445,10.8743693676,11.794049784
2003-08-14,VRSN,0.265299,-0.14285,0.079649,0.397626,0.592,-0.538,-0.6,-10.183,2.889,2.296,5.854,11.3682718134,14.3487176072
2003-11-14,VRSN,0.268123,-0.031303,-0.016802,0.380824,0.605,-0.117,-0.13,-14.6,3.615,2.824,5.742,13.7441128891,13.7952062455
2004-03-15,VRSN,0.2516,-0.03229,0.012963,0.393787,0.508,-0.128,-0.13,-14.452,3.561,2.772,5.607,13.1139614927,14.8170733748
2004-05-06,VRSN,0.229113,0.00907,0.012897,0.406684,0.461,0.04,0.04,-22.075,4.296,2.966,6.012,14.9618378848,13.9995796714
2004-08-09,VRSN,0.256045,0.021945,-0.080412,0.326272,0.482,0.086,0.09,-129.784,4.208,2.65,6.399,14.0932508249,23.7584107562
2004-11-09,VRSN,0.325311,0.040398,-0.094825,0.231447,0.506,0.124,0.16,180.937,6.665,4.457,6.25,23.6647396026,24.439655509
2005-03-16,VRSN,0.355986,0.114812,0.191388,0.330641,0.522,0.323,0.45,38.238,6.105,4.301,6.51,23.8350507909,23.8350507909
2005-05-10,VRSN,0.400991,0.049175,0.058736,0.389377,0.531,0.123,0.19,32.419,5.482,4.272,6.763,23.6221618056,20.7353871653
2005-08-09,VRSN,0.44483,0.041295,0.060202,0.449579,0.496,0.093,0.16,26.736,4.301,3.232,7.713,21.10155622,20.3181247542
2005-11-09,VRSN,0.414766,0.044574,-0.139635,0.309944,0.539,0.107,0.17,24.959,3.858,3.31,7.238,20.7183560465,19.7050044766
2006-03-13,VRSN,0.348907,0.271417,0.168716,0.476826,0.553,0.778,1.06,13.779,3.48,2.814,7.907,19.5006310508,19.8838312242
2006-05-10,VRSN,0.373604,0.019771,-0.044328,0.43125,0.573,0.053,0.08,15.096,3.598,2.863,8.095,19.7731289519,27.6500214069
2007-07-12,VRSN,0.412228,-0.029532,0.057537,0.501184,0.665,-0.072,-0.12,21.224,5.107,3.454,9.553,28.0928304963,28.8762619621
2007-07-16,VRSN,0.373049,0.061753,0.040461,0.523024,0.44,0.166,0.25,18.965,5.107,3.285,10.047,28.1013460557,26.0405806783
