datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,VRTX,0.021443,-0.012107,-0.054135,0.194435,1.011,-0.565,-0.2,-40.623,31.31,6.081,6.32,38.34,34.84
2001-08-22,VRTX,0.021443,-0.012107,-0.054135,0.194435,1.011,-0.565,-0.2,-38.218,29.456,5.721,6.32,36.07,27.15
2001-11-14,VRTX,0.075465,-0.041996,0.002855,0.22218,0.937,-0.556,-0.5,-27.417,15.001,4.273,6.409,27.15,27.86
2002-04-01,VRTX,0.051525,-0.00326,-0.006746,0.215395,0.946,-0.063,-0.04,-32.303,12.774,4.501,6.347,28.4,19.57
2002-05-15,VRTX,0.040695,-0.022067,-0.012976,0.202363,0.945,-0.542,-0.29,-18.575,7.801,3.278,5.989,19.48,19.51
2002-08-14,VRTX,0.04233,-0.021019,-0.050961,0.151393,0.97,-0.497,-0.28,-17.986,7.566,3.639,5.772,20.9,17.6
2002-11-14,VRTX,0.034276,-0.033452,-0.021674,0.129685,1.036,-0.976,-0.44,-16.71,7.898,3.266,5.373,17.46,11.52
2003-03-31,VRTX,0.043784,-0.032083,0.004504,0.134189,1.155,-0.733,-0.42,-7.846,5.291,2.251,4.969,11.14,13.15
2003-05-15,VRTX,0.022609,0.020611,0.072675,0.206865,1.099,0.912,0.27,-16.262,7.499,2.679,5.238,13.98,13.13
2003-08-14,VRTX,0.017576,-0.089928,-0.047363,0.159502,1.512,-5.117,-1.17,-7.599,8.666,3.268,4.084,13.31,8.34
2003-11-14,VRTX,0.018352,-0.086421,-0.055961,0.10351,2.211,-4.709,-1.12,-3.707,6.804,3.01,3.001,8.96,10.22
2004-03-15,VRTX,0.010604,-0.041029,0.02071,0.12422,2.756,-3.869,-0.53,-3.814,10.856,3.892,2.48,9.6,8.53
2004-05-10,VRTX,0.017513,-0.040438,-0.045152,0.087577,3.26,-2.309,-0.52,-2.653,10.678,4.353,2.012,8.68,8.37
2004-08-09,VRTX,0.018541,-0.044269,0.010685,0.116108,4.658,-2.388,-0.56,-3.08,10.052,5.925,1.4,8.17,11.18
2004-11-09,VRTX,0.026828,-0.038771,-0.026655,0.085453,6.728,-1.445,-0.49,-5.595,12.524,12.384,0.944,11.46,10.34
2005-03-16,VRTX,0.039835,-0.042769,0.017969,0.104853,14.39,-1.074,-0.55,-5.026,8.135,23.578,0.448,10.29,10.65
2005-05-09,VRTX,0.028606,-0.04472,-0.017635,0.086378,-58.029,-1.563,-0.56,-5.334,7.993,-107.13,-0.107,11.19,15.69
2005-08-09,VRTX,0.032321,-0.040988,0.157324,0.243702,3.855,-1.268,-0.5,-8.884,11.645,12.084,1.494,15.53,24.57
2005-11-09,VRTX,0.036207,-0.079578,-0.093076,0.148226,3.13,-2.198,-0.84,-12.183,18.505,19.013,1.409,25.57,39.26
2006-03-16,VRTX,0.063756,-0.038131,-0.023574,0.119527,1.295,-0.598,-0.35,-21.303,26.934,18.118,2.378,39.49,35.65
2006-05-10,VRTX,0.039087,-0.050087,0.003782,0.123309,1.253,-1.281,-0.47,-18.616,22.68,16.687,2.168,35.28,30.59
2006-08-09,VRTX,0.029726,-0.077658,-0.040397,0.082912,2.574,-2.612,-0.72,-13.719,19.952,19.243,1.613,30.12,41.94
2006-11-09,VRTX,0.053289,-0.051802,0.442001,0.520823,0.777,-0.972,-0.46,-23.736,27.8,10.176,4.501,41.14,30.69
2007-03-01,VRTX,0.094254,-0.027344,-0.27026,0.243429,0.822,-0.29,-0.19,-18.383,17.579,7.517,4.078,30.03,30.63
