datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,VTR,0.047356,0.008105,-0.031714,0.023384,-9.165,0.171,0.12,-14.041,3.668,-7.253,-1.613,4.444468464,4.70614459958
2001-11-13,VTR,0.047296,0.009157,0.000443,0.023827,-12.794,0.194,0.13,-14.637,4.037,-10.12,-1.192,4.67885130033,5.08020957128
2002-03-26,VTR,0.062305,0.022725,-0.005231,0.039369,-11.342,0.365,0.33,17.141,4.237,-9.517,-1.329,5.09645324697,5.45787503102
2002-05-14,VTR,0.046739,0.012701,-0.009315,0.029275,-10.459,0.272,0.18,17.605,4.554,-9.84,-1.372,5.4538141121,4.82974045749
2002-07-25,VTR,0.051246,0.026468,-0.005945,0.02302,-10.236,0.516,0.38,12.066,4.13,-8.989,-1.385,5.13159923608,4.56688946828
2002-10-29,VTR,0.049079,0.017093,0.000785,0.023777,-7.824,0.348,0.25,9.702,3.66,-6.1,-1.818,4.63002618904,5.02260616112
2003-02-26,VTR,0.049835,0.009444,-0.001666,0.022408,-17.704,0.19,0.13,14.265,4.765,-17.479,-0.759,5.0956466271,5.64407221911
2003-04-29,VTR,0.050423,0.037288,0.000628,0.022658,-21.533,0.74,0.47,11.163,5.025,-23.569,-0.542,5.60014947811,7.1171546756
2003-07-24,VTR,0.050185,0.016129,0.00609,0.016204,-17.96,0.321,0.2,16.086,6.446,-27.246,-0.598,7.25144061288,8.09352369208
2003-10-28,VTR,0.059779,0.032212,0.000922,0.018125,-33.668,0.539,0.41,15.335,6.935,-61.503,-0.299,8.27540062898,12.1926004182
2004-02-27,VTR,0.046817,0.077124,0.072009,0.089679,13.434,1.647,0.97,13.254,10.522,38.305,0.702,12.1695955117,10.5100624186
2004-04-29,VTR,0.054277,0.023275,-0.080381,0.020707,7.844,0.429,0.28,12.606,8.884,16.463,1.394,10.4122293908,11.314875743
2004-07-28,VTR,0.059767,0.025654,0.007157,0.027238,7.278,0.429,0.31,13.409,9.618,16.372,1.547,11.9148712417,12.9369079233
2004-10-28,VTR,0.061608,0.025297,-0.005075,0.020562,7.384,0.411,0.3,15.207,10.346,17.681,1.548,13.0325243899,12.4898644607
2005-03-01,VTR,0.061204,0.046674,-0.00044,0.029075,6.033,0.763,0.56,18.809,9.601,14.193,1.899,12.9735927512,12.8320060088
2005-04-29,VTR,0.064003,0.027573,-0.001586,0.019543,6.043,0.431,0.33,18.286,9.284,13.731,1.969,13.2342324968,15.8858203449
2005-07-28,VTR,0.075154,0.027068,-0.000977,0.052753,3.007,0.36,0.31,26.048,12.589,5.034,7.397,15.9106574624,14.7589661006
2005-10-28,VTR,0.096135,0.028721,0.004962,0.062161,3.064,0.299,0.28,24.008,10.529,4.773,6.346,15.1961571291,15.653894164
2006-02-28,VTR,0.097696,0.047221,-0.004123,0.061308,2.955,0.483,0.47,24.644,9.664,4.822,6.439,15.7555428274,16.4242491739
2006-05-02,VTR,0.097814,0.029134,-0.000175,0.063219,3.04,0.298,0.28,25.181,9.072,5.051,6.35,16.4911818508,18.1923169345
2006-07-28,VTR,0.100306,0.029258,0.000466,0.053159,3.094,0.292,0.28,27.758,9.514,5.737,6.257,18.682170212,20.9683568917
2006-10-27,VTR,0.109667,0.032241,3e-06,0.054753,3.363,0.294,0.31,29.49,10.026,6.316,6.188,20.5524642995,25.0291521646
2007-02-22,VTR,0.120562,0.040797,-0.000689,0.081285,3.584,0.338,0.39,38.366,11.772,7.103,6.75,25.2151437412,23.3352099167
2007-05-10,VTR,0.121848,0.045106,-0.001246,0.080039,3.635,0.37,0.43,30.706,10.005,6.385,6.685,22.8677534896,19.3362701461
2007-08-09,VTR,0.193722,0.179797,0.033556,0.129196,2.004,0.901,1.49,16.55,8.877,2.578,16.003,19.7606452365,22.3806770644
2007-11-09,VTR,0.226294,0.028014,0.009384,0.11838,2.056,0.124,0.21,19.437,8.466,3.041,13.843,23.1351437863,23.6311506514
2008-02-29,VTR,0.232553,0.029401,-0.009611,0.082411,2.117,0.126,0.18,20.873,7.495,3.172,13.668,23.2804409951,27.4454525824
2008-05-07,VTR,0.231764,0.032052,0.023302,0.103968,1.84,0.138,0.24,24.426,7.294,3.26,14.506,26.2507018745,26.4793691098
2008-08-06,VTR,0.233513,0.071066,-0.02224,0.069306,1.869,0.304,0.51,39.706,6.897,3.216,14.348,26.2230068874,19.4183838817
2008-11-05,VTR,0.238554,0.064695,0.086723,0.159764,1.645,0.271,0.46,21.848,4.602,1.97,15.541,17.3318730579,12.9373910987
2009-02-27,VTR,0.227956,0.058475,0.059887,0.232678,1.677,0.257,0.41,13.669,3.327,1.44,15.025,12.6442920706,17.2383478522
2009-05-06,VTR,0.230851,0.074228,-0.08089,0.134081,1.572,0.322,0.52,16.737,4.827,2.073,15.15,17.208378541,22.329742831
2009-08-05,VTR,0.231988,0.088381,-0.049538,0.140993,1.226,0.381,0.57,20.716,6.37,2.373,16.153,23.0425886458,25.1518406177
2009-11-04,VTR,0.23583,0.049805,0.0241,0.167366,1.241,0.211,0.32,22.587,6.603,2.462,15.903,24.1267471872,28.0911558191
2010-02-19,VTR,0.238836,0.054081,0.036503,0.147229,1.27,0.226,0.35,26.514,7.548,2.866,15.77,28.1723802465,30.9381275181
2010-04-30,VTR,0.241545,0.052619,0.024485,0.173752,1.296,0.218,0.34,30.252,7.813,3.029,15.632,29.8571263319,32.2197434503
2010-07-30,VTR,0.243978,0.058067,-0.10404,0.071278,1.254,0.238,0.37,37.13,8.297,3.297,15.429,32.4371851488,35.8072979419
2010-11-05,VTR,0.264665,0.057898,0.005879,0.075775,1.409,0.219,0.37,38.875,8.752,3.604,15.332,35.5941208118,36.2719374853
2011-02-18,VTR,0.267994,0.077583,-0.012074,0.060752,1.411,0.289,0.49,37.301,9.03,3.847,15.228,36.8074612293,36.6301175526
2011-05-06,VTR,0.270461,0.048984,0.019994,0.077298,1.153,0.181,0.31,36.682,8.496,3.366,16.478,36.0094919128,32.4236760963
2011-08-05,VTR,0.36466,0.019676,-0.015205,0.090963,1.459,0.054,0.11,67.177,11.743,3.501,22.221,31.8617638223,36.6433082753
2011-11-07,VTR,0.565957,0.102885,0.030978,0.142265,0.842,0.182,0.36,62.651,10.625,1.688,32.174,36.5825735102,38.3334443603
2012-02-22,VTR,0.563913,0.192948,-0.011727,0.122397,0.842,0.342,0.78,44.46,9.181,1.747,40.599,38.2788480358,40.5131849611
2012-04-27,VTR,0.573694,0.090626,0.007362,0.167644,0.851,0.158,0.31,42.13,8.273,1.863,31.857,40.8513123778,45.8390487917
2012-07-27,VTR,0.616448,0.074025,-0.000384,0.167686,0.911,0.12,0.26,42.842,8.503,2.095,32.459,46.5853631893,44.3748386427
2012-10-26,VTR,0.64195,0.111882,0.005687,0.135438,0.947,0.174,0.38,39.686,7.776,1.991,31.729,44.3889214224,49.3938446726
2013-02-19,VTR,0.659306,0.086267,0.009376,0.173821,1.077,0.131,0.29,55.806,8.146,2.245,30.602,49.3085235072,56.413476083
2013-04-26,VTR,0.684868,0.112193,-0.010169,0.156915,1.068,0.164,0.38,59.805,8.832,2.578,30.589,56.2771076293,50.0964035778
2013-07-26,VTR,0.685846,0.11458,0.004771,0.156913,1.076,0.167,0.39,47.222,7.51,2.248,30.501,49.5747924343,48.3510099919
2013-10-25,VTR,0.712386,0.118296,-0.007779,0.152872,1.209,0.166,0.4,45.905,7.22,2.229,30.343,49.3104135528,45.6464659508
2014-02-18,VTR,0.728406,0.10844,0.040168,0.179473,1.209,0.149,0.37,39.855,6.432,2.048,30.046,45.5722681843,49.3311690606
2014-04-29,VTR,0.74147,0.121047,-0.035586,0.135901,1.229,0.163,0.41,41.964,6.765,2.222,29.712,49.4737663848,48.151098944
2014-08-11,VTR,0.751254,0.138398,0.027797,0.162149,1.258,0.184,0.47,38.54,6.387,2.165,29.44,48.3180794258,52.0750060251
2014-10-24,VTR,0.779035,0.109132,-0.026388,0.143341,1.388,0.14,0.37,41.32,6.57,2.306,29.075,51.4071809183,59.9317916107
2015-02-13,VTR,0.803987,0.10719,-0.007961,0.127119,1.417,0.133,0.37,53.268,8.24,2.92,29.444,59.6127571449,57.3011095436
