datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,VZ,16.909,-1.021,1.927,2.616,3.875,-0.06,-0.38,24.726,2.186,4.166,12.896,22.4688834045,20.6085968959
2001-11-14,VZ,17.004,1.875,-1.251,1.365,3.866,0.11,0.69,31.184,1.996,3.838,12.845,20.7603476605,20.2581739252
2002-03-20,VZ,17.011,-2.037,-0.386,0.979,4.249,-0.12,-0.76,336.053,1.946,4.017,11.98,20.4365851865,18.0650525212
2002-05-15,VZ,16.375,-0.501,0.036,1.015,4.525,-0.031,-0.18,-68.237,1.707,3.706,11.404,18.0821920397,18.8491854935
2002-05-31,VZ,16.375,-0.501,0.036,1.015,4.525,-0.031,-0.18,-69.531,1.74,3.776,11.404,18.4249824101,13.0912103741
2002-08-12,VZ,16.835,-2.115,1.947,2.962,4.876,-0.126,-0.78,-29.563,1.222,2.867,10.507,13.0262952814,16.8070975692
2002-11-13,VZ,17.201,4.405,2.689,5.651,4.31,0.256,1.61,-415.88,1.53,3.239,11.656,16.5093167889,15.3606838513
2003-03-14,VZ,17.214,2.29,-4.213,1.438,4.135,0.133,0.83,23.594,1.423,2.951,11.912,15.4932940716,16.5646997832
2003-05-12,VZ,16.279,3.908,2.697,4.135,3.81,0.24,1.42,12.151,1.527,2.883,13.018,16.7613664832,15.8866474296
2003-08-12,VZ,16.829,0.338,-3.299,0.82,3.898,0.02,0.12,9.089,1.473,2.906,12.427,16.2838136153,14.8134739686
2003-11-12,VZ,17.155,1.791,-0.074,0.746,3.696,0.104,0.65,10.758,1.328,2.55,12.735,14.8134739686,17.3413272011
2004-03-12,VZ,17.278,-1.458,-0.047,0.699,3.959,-0.084,-0.53,34.12,1.55,3.137,12.103,17.493606019,17.5094734556
2004-05-07,VZ,17.136,1.199,-0.099,0.6,3.879,0.07,0.43,54.488,1.49,3.042,12.092,17.1458581922,18.2052052898
2004-08-06,VZ,17.838,1.797,0.008,0.608,3.764,0.101,0.65,31.893,1.53,3.114,12.31,18.0685720203,19.5011660356
2004-11-08,VZ,18.206,1.796,0.038,0.616,3.631,0.099,0.65,34.134,1.615,3.235,12.703,19.543963035,17.3190535054
2005-03-14,VZ,18.263,3.039,1.674,2.29,3.418,0.166,1.1,12.762,1.402,2.661,13.545,17.3238550173,16.7832840113
2005-05-09,VZ,18.179,1.757,-1.598,0.692,3.341,0.097,0.63,11.393,1.319,2.517,13.716,16.7735714626,16.3714996033
2005-08-08,VZ,18.569,2.113,0.713,1.405,3.393,0.114,0.76,10.524,1.251,2.376,13.939,16.2781447136,15.204028497
2005-11-08,VZ,19.038,1.869,-0.789,0.616,3.291,0.098,0.68,9.658,1.145,2.161,14.186,15.2587729532,17.3009245213
2006-03-14,VZ,19.326,1.658,0.16,0.776,3.237,0.086,0.6,13.607,1.34,2.537,14.361,17.3362119548,16.7947318562
2006-05-09,VZ,22.743,1.632,0.473,1.249,3.083,0.072,0.56,13.178,1.203,2.14,15.359,16.7590200935,17.2950866542
2006-08-04,VZ,22.678,1.611,-0.063,1.186,3.106,0.071,0.55,14.459,1.168,2.186,15.388,17.4396857663,19.160774501
2006-11-06,VZ,23.254,1.922,0.66,1.846,3.012,0.083,0.66,15.823,1.227,2.333,15.92,19.3069602465,20.4827178784
2007-03-01,VZ,20.154,1.032,1.389,3.219,2.89,0.051,0.36,17.421,1.225,2.224,16.65,20.3184180024,22.7323773569
2007-05-04,VZ,22.584,1.495,-1.918,1.301,2.778,0.066,0.51,19.48,1.331,2.42,16.769,22.5054410356,23.1998717738
2007-07-31,VZ,23.273,1.683,-0.645,0.656,2.708,0.072,0.58,20.174,1.386,2.483,17.165,23.8202489761,25.9481550655
2007-10-30,VZ,23.772,1.271,0.059,0.715,2.736,0.053,0.44,23.92,1.46,2.639,17.158,25.5927008865,20.7419661011
2008-02-28,VZ,23.84,1.072,0.438,1.153,2.696,0.045,0.38,19.334,1.142,2.11,17.526,21.1922588524,21.982698257
2008-04-29,VZ,23.833,1.642,4.332,5.485,2.805,0.069,0.57,19.217,1.15,2.166,17.562,22.1333043584,19.6996240385
2008-07-29,VZ,24.124,1.882,-4.903,0.582,2.943,0.078,0.66,16.566,1.017,1.91,17.855,20.0103621558,16.4562271494
2008-10-28,VZ,24.752,1.669,0.114,0.696,3.021,0.067,0.59,14.35,0.931,1.764,17.916,18.8641647692,16.8386355052
2009-02-24,VZ,24.645,1.235,9.086,9.782,3.852,0.05,0.44,12.625,0.834,1.946,14.685,17.273961091,18.309601544
2009-05-11,VZ,26.591,1.645,-5.803,3.979,3.496,0.062,0.58,13.171,0.846,2.024,14.731,18.2911999344,19.9310691681
2009-07-30,VZ,26.861,1.483,-3.159,0.82,3.332,0.055,0.52,15.216,0.892,2.151,15.02,20.1367368612,18.9676814654
2009-10-29,VZ,27.265,1.176,0.396,1.216,3.284,0.043,0.41,15.406,0.81,1.976,15.201,19.0246795065,18.5622112733
2010-02-26,VZ,27.091,-0.653,0.793,2.009,3.434,-0.024,-0.22,22.47,0.761,1.972,14.645,18.5943480657,18.7689122738
2010-04-28,VZ,26.913,0.409,1.028,3.037,3.527,0.015,0.14,34.085,0.761,2.034,14.267,19.0104600143,20.5339193266
2010-07-29,VZ,26.773,-0.198,1.724,4.761,3.612,-0.007,-0.07,111.221,0.756,2.08,13.885,20.5126112124,23.4283273864
2010-10-28,VZ,26.484,0.881,0.633,5.394,3.593,0.033,0.31,208.693,0.854,2.416,13.403,23.356262399,26.2705715813
2011-02-28,VZ,26.395,1.457,1.274,6.668,3.451,0.055,0.51,40.962,0.98,2.707,13.629,26.964400967,28.2955688183
2011-04-28,VZ,26.99,1.439,7.339,14.007,3.571,0.053,0.51,30.251,1.015,2.777,13.777,28.310363887,27.134324905
2011-07-28,VZ,27.536,1.609,-7.767,6.24,3.381,0.058,0.57,18.741,0.94,2.565,13.894,26.7221769155,28.0606947326
2011-10-25,VZ,27.913,1.379,4.084,10.324,3.598,0.049,0.49,17.413,0.941,2.624,13.779,27.4984170694,29.3504313388
2012-02-24,VZ,28.436,-2.023,3.038,13.362,4.019,-0.071,-0.71,44.986,0.975,3.007,12.683,29.3581288031,30.7930620533
