datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,WAT,0.206803,0.039313,0.045322,0.134514,0.471,0.19,0.3,24.82,4.666,7.312,4.042,29.51,38.01
2001-11-09,WAT,0.202694,0.038246,0.029716,0.16423,0.434,0.189,0.29,32.052,5.964,8.663,4.409,38.1,27.89
2002-03-28,WAT,0.248679,-0.001416,0.062568,0.226798,0.525,-0.006,-0.01,32.011,4.267,6.303,4.448,27.97,26.88
2002-04-26,WAT,0.200341,0.03524,0.023963,0.250761,0.512,0.176,0.27,31.196,4.047,5.643,4.699,26.45,24.21
2002-08-12,WAT,0.217192,0.037901,0.055647,0.306408,0.469,0.175,0.29,28.39,3.593,4.595,5.166,23.8,26.19
2002-11-08,WAT,0.216045,0.039023,-0.070618,0.305163,0.483,0.181,0.3,30.085,3.777,4.994,5.101,25.8,21.5
2003-03-21,WAT,0.256389,0.035548,0.027522,0.313256,0.52,0.139,0.27,18.018,2.99,4.0,5.099,21.44,25.92
2003-05-15,WAT,0.220999,0.033977,0.00826,0.320569,0.734,0.154,0.27,22.653,3.643,5.535,4.745,26.7,31.34
2003-08-14,WAT,0.231752,0.042098,0.011471,0.283043,0.668,0.182,0.34,25.419,4.139,6.329,4.897,31.16,31.0
2003-11-14,WAT,0.230381,0.036414,0.005077,0.28812,0.827,0.158,0.3,25.132,3.96,6.585,4.625,30.64,36.41
2004-03-12,WAT,0.275073,0.058402,0.068661,0.356781,0.915,0.212,0.48,26.095,4.654,7.552,4.89,37.36,42.9
2004-05-10,WAT,0.255086,0.040845,0.051824,0.408605,1.172,0.16,0.34,28.508,5.107,8.844,4.768,42.4,40.81
2004-08-11,WAT,0.260488,0.059751,0.011374,0.419979,1.303,0.229,0.5,24.564,4.701,8.697,4.65,40.6,44.49
2004-11-10,WAT,0.264808,0.05194,0.051192,0.471171,1.104,0.196,0.44,25.481,5.093,8.481,5.304,44.48,48.7
2005-03-15,WAT,0.324154,0.071517,0.067906,0.539077,1.152,0.221,0.59,25.165,5.105,8.308,5.646,47.85,40.1
2005-05-06,WAT,0.268305,0.046595,0.047835,0.586912,1.562,0.174,0.39,20.583,4.232,8.175,4.874,40.29,44.51
2005-08-05,WAT,0.28463,0.054065,0.028322,0.615234,1.874,0.19,0.47,22.65,4.446,9.777,4.472,44.14,38.95
2005-11-04,WAT,0.273031,0.025717,-0.126331,0.488903,2.82,0.094,0.23,21.464,3.693,11.977,3.139,38.38,42.55
2006-03-06,WAT,0.33227,0.075598,0.004685,0.493588,4.038,0.228,0.68,21.709,3.786,15.459,2.487,41.95,45.7
2006-05-05,WAT,0.290218,0.044155,-0.012365,0.481223,4.55,0.152,0.42,23.639,3.997,18.182,2.48,45.57,40.5
2006-08-04,WAT,0.301899,0.04778,0.008333,0.489556,4.865,0.158,0.46,21.773,3.514,16.792,2.432,41.07,49.14
2006-11-03,WAT,0.301182,0.050376,0.022011,0.511567,4.745,0.167,0.49,23.03,4.095,19.197,2.567,49.45,54.24
2007-03-01,WAT,0.38693,0.079889,0.002599,0.514166,3.463,0.206,0.79,25.383,4.406,15.564,3.529,55.55,60.03
2007-05-04,WAT,0.330777,0.055937,-0.01048,0.503686,3.344,0.169,0.55,25.922,4.592,16.182,3.696,60.11,60.76
2007-08-03,WAT,0.35263,0.059909,0.040618,0.544304,3.401,0.17,0.6,24.66,4.425,16.027,3.774,60.77,75.65
2007-11-02,WAT,0.352638,0.053283,0.046961,0.591265,2.911,0.151,0.53,30.359,5.313,16.591,4.565,75.28,60.62
2008-02-29,WAT,0.437003,0.098943,0.006068,0.597333,2.21,0.226,0.99,22.228,4.045,10.167,5.832,59.61,62.44
2008-05-02,WAT,0.371712,0.068475,0.103227,0.70056,2.2,0.184,0.68,22.239,4.122,10.115,6.145,62.34,67.94
2008-08-01,WAT,0.398771,0.083148,0.130121,0.830681,2.173,0.209,0.83,21.81,4.248,10.186,6.533,66.95,44.21
2008-10-31,WAT,0.38631,0.071503,0.061919,0.8926,2.261,0.185,0.72,13.37,2.702,6.675,6.523,43.8,35.47
2009-02-27,WAT,0.418331,0.099353,-0.464078,0.428522,1.455,0.237,1.02,10.599,2.17,5.171,6.663,35.22,44.33
2009-05-08,WAT,0.333052,0.073347,-0.040369,0.388153,1.515,0.22,0.75,13.09,2.789,6.437,6.842,44.45,50.77
2009-08-07,WAT,0.362837,0.069907,-0.029708,0.358445,1.467,0.193,0.73,15.594,3.264,6.703,7.6,51.28,59.56
2009-11-06,WAT,0.373963,0.075936,0.031972,0.390417,1.415,0.203,0.8,17.607,3.769,7.185,8.197,59.23,59.91
2010-02-26,WAT,0.428848,0.104123,-0.049306,0.341111,1.247,0.243,1.09,17.269,3.725,6.577,8.862,59.66,68.42
2010-05-07,WAT,0.3677,0.075518,-0.044099,0.297012,1.437,0.205,0.81,18.878,4.007,7.558,8.684,66.11,66.36
2010-08-06,WAT,0.391055,0.084922,0.013872,0.310884,1.505,0.217,0.92,17.954,3.915,7.52,8.778,66.42,77.11
2010-11-05,WAT,0.401038,0.094719,-0.048092,0.262792,1.389,0.236,1.03,19.797,4.477,7.704,10.067,77.88,81.6
2011-02-25,WAT,0.483578,0.126604,0.045706,0.308498,1.178,0.262,1.37,19.721,4.581,7.044,11.569,82.44,95.65
2011-05-06,WAT,0.427603,0.094489,-0.011638,0.29686,1.126,0.221,1.03,22.152,5.212,7.714,12.557,96.87,78.87
2011-08-05,WAT,0.447627,0.100075,0.048054,0.344914,1.099,0.224,1.09,17.136,4.05,5.815,13.37,78.01,79.67
2011-11-04,WAT,0.454534,0.101257,0.079012,0.423926,1.277,0.223,1.12,16.662,3.882,6.073,12.781,78.55,88.11
2012-02-24,WAT,0.52142,0.137147,-0.039936,0.38399,1.22,0.263,1.53,18.217,4.261,6.43,13.504,88.56,83.52
2012-05-04,WAT,0.420458,0.088666,0.043196,0.427186,1.205,0.211,1.0,17.375,4.025,5.764,14.468,83.51,75.4
2012-08-03,WAT,0.451465,0.097724,-0.057757,0.369429,1.284,0.216,1.11,15.916,3.659,5.354,14.297,77.11,84.19
2012-11-02,WAT,0.449952,0.099109,-0.013136,0.356293,1.254,0.22,1.13,17.177,3.938,5.459,15.214,83.49,90.42
2013-02-26,WAT,0.521766,0.175944,0.124742,0.481035,1.159,0.337,2.01,17.029,4.262,5.355,16.705,91.49,92.63
