datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-11,WBA,6.2962,0.2134,0.0241,0.0987,0.688,0.034,0.21,37.288,1.392,6.596,4.917,25.6357555158,27.106456839
2001-11-29,WBA,6.2836,0.2169,-0.0818,0.0169,0.696,0.035,0.21,38.149,1.372,6.488,5.111,26.2581412842,27.653501449
2002-01-08,WBA,6.5594,0.1859,0.0174,0.0343,0.786,0.028,0.18,38.911,1.39,6.544,5.323,27.5662914387,31.4255141071
2002-04-08,WBA,7.4885,0.3266,-0.0182,0.0161,0.594,0.044,0.32,43.235,1.531,7.076,5.636,31.6080360325,29.97327444
2002-05-01,WBA,7.4885,0.3266,-0.0182,0.0161,0.594,0.044,0.32,39.99,1.416,6.545,5.636,29.2352510027,29.78713168
2002-07-10,WBA,7.3979,0.259,0.2701,0.2862,0.574,0.035,0.25,36.939,1.317,6.077,5.869,28.3096899487,24.0483629255
2002-11-22,WBA,7.2353,0.2477,0.1637,0.4499,0.586,0.034,0.25,29.967,1.065,4.902,6.081,23.7219865998,25.0354523008
2003-01-07,WBA,7.4849,0.2316,-0.1556,0.2943,0.62,0.031,0.23,30.741,1.106,5.115,6.245,25.425511812,25.0777501021
2003-04-09,WBA,8.4461,0.3709,0.3889,0.6832,0.599,0.044,0.36,28.524,1.035,4.706,6.56,24.6074426463,24.6131141484
2003-07-09,WBA,8.328,0.2961,0.1712,0.8544,0.572,0.036,0.29,27.225,0.991,4.477,6.801,24.3018588138,28.3579453759
2003-11-21,WBA,8.2464,0.2771,0.1627,1.0171,0.585,0.034,0.27,31.174,1.128,5.093,7.021,28.6059973812,27.5497759394
2004-01-13,WBA,8.7208,0.2549,-0.149,0.8681,0.64,0.029,0.25,29.687,1.055,4.827,7.195,27.7898262671,26.5583003743
2004-04-14,WBA,9.7822,0.4335,0.2391,1.1072,0.588,0.044,0.42,26.678,0.96,4.347,7.56,26.3179537646,29.7529004077
2004-07-14,WBA,9.5785,0.3446,0.4698,1.577,0.593,0.036,0.34,28.818,1.039,4.716,7.823,29.5603769216,31.7763709042
2004-11-12,WBA,9.4267,0.3272,-0.1324,1.6955,0.622,0.035,0.32,29.478,1.069,4.873,8.024,31.9473429229,33.4779495665
2005-01-06,WBA,9.8891,0.3327,-0.3821,1.3134,0.681,0.034,0.33,29.221,1.086,4.992,8.232,33.4942326159,36.3141869135
2005-04-08,WBA,10.987,0.4909,-0.1859,0.4531,0.636,0.045,0.48,30.199,1.132,5.212,8.482,36.0044362732,37.9307293679
2005-07-08,WBA,10.8306,0.411,0.0881,0.5412,0.645,0.038,0.41,30.49,1.158,5.463,8.55,38.2653162663,37.3369747489
2005-11-04,WBA,10.4949,0.329,0.0356,0.5768,0.643,0.031,0.32,29.911,1.105,5.247,8.758,37.6638469288,35.6627743147
2006-01-06,WBA,10.9004,0.3456,0.0073,0.5841,0.691,0.032,0.34,27.843,1.016,4.82,8.991,35.4909252416,35.6396774459
2006-04-06,WBA,12.1631,0.5235,-0.0053,0.5788,0.654,0.043,0.52,27.553,0.999,4.69,9.353,35.9674739734,37.3887920979
2006-07-07,WBA,12.1752,0.4692,0.2236,0.8024,0.68,0.039,0.46,27.72,1.011,4.721,9.704,37.6350410031,35.7539207441
2006-11-07,WBA,12.1703,0.4123,0.1175,0.9199,0.693,0.034,0.41,24.997,0.923,4.326,10.029,35.8525749287,34.6501665319
2006-11-14,WBA,12.1703,0.4123,0.1175,0.9199,0.693,0.034,0.41,24.229,0.895,4.193,10.029,34.8148927812,38.0188183293
2007-01-05,WBA,12.7085,0.4317,-0.2502,0.6697,0.775,0.034,0.43,24.793,0.925,4.484,10.102,37.4752217068,38.1504013493
2007-04-06,WBA,13.9337,0.6519,0.0245,0.6942,0.672,0.047,0.65,23.47,0.905,4.365,10.571,38.4474200449,36.1247444316
2007-07-03,WBA,13.6983,0.5612,-0.1268,0.5674,0.646,0.041,0.56,21.181,0.83,3.997,10.947,36.2404494011,33.1116033405
2007-10-26,WBA,13.4215,0.3965,-0.3126,0.2548,0.739,0.03,0.4,19.519,0.741,3.588,11.182,33.2772441777,31.8649311845
2007-12-28,WBA,14.0279,0.4555,0.0403,0.2951,0.782,0.032,0.46,18.54,0.695,3.332,11.591,32.0641907855,31.708715742
2008-04-01,WBA,15.3936,0.6859,-0.0398,0.2553,0.72,0.045,0.69,18.369,0.682,3.196,12.172,32.4079890742,27.1346052632
2008-07-01,WBA,15.0157,0.5723,0.2165,0.4718,0.722,0.038,0.58,15.213,0.555,2.561,12.659,27.0678329341,19.8161384182
2008-10-30,WBA,14.5968,0.4433,-0.029,0.443,0.741,0.03,0.45,11.559,0.422,1.937,13.002,21.0970294946,22.5729792604
2009-01-06,WBA,14.947,0.408,0.443,0.886,0.867,0.027,0.41,12.494,0.44,2.007,13.282,22.4636466485,22.4336653926
2009-03-27,WBA,16.475,0.64,0.023,0.909,0.815,0.039,0.65,12.682,0.429,1.913,13.845,22.2900764198,25.3392284164
2009-06-30,WBA,16.21,0.522,1.391,2.3,0.772,0.032,0.53,14.492,0.469,2.057,14.301,24.9238312292,33.2516847564
2009-10-26,WBA,15.703,0.436,-0.213,2.087,0.749,0.028,0.44,19.175,0.607,2.676,14.505,33.1239574142,31.8731686961
2010-01-05,WBA,16.364,0.489,0.465,2.552,0.816,0.03,0.49,17.466,0.563,2.493,14.793,31.6168161329,31.5642073165
2010-03-29,WBA,16.987,0.669,-0.051,2.501,0.762,0.039,0.68,17.335,0.562,2.454,15.208,32.1647766321,23.1950124948
2010-06-28,WBA,17.199,0.463,-0.789,1.712,0.767,0.027,0.47,12.727,0.395,1.732,15.477,23.1691732681,29.8473833649
