datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,WFM,0.535584,0.01612,0.001124,0.003072,1.166,0.03,0.07,113.677,0.859,4.745,1.779,6.98417890254,8.67051647876
2001-12-20,WFM,0.576552,0.009493,-0.001229,0.001843,1.026,0.016,0.04,33.937,1.014,5.627,1.882,8.65390231545,9.5614509864
2002-03-05,WFM,0.780799,0.020141,0.008706,0.010549,0.977,0.026,0.09,33.793,1.023,5.461,2.045,9.18763231187,10.3485469733
2002-05-21,WFM,0.622789,0.020227,0.008528,0.019077,0.873,0.032,0.09,42.538,1.116,5.736,2.184,10.3070115651,10.1429467023
2002-08-16,WFM,0.648763,0.02208,-0.00287,0.016207,0.673,0.034,0.1,38.088,1.042,4.912,2.442,9.8999645639,11.179255139
2002-12-20,WFM,0.638124,0.022043,-0.003561,0.012646,0.601,0.035,0.1,36.561,1.148,5.244,2.562,11.0463418325,10.5292259994
2003-03-04,WFM,0.92376,0.025637,0.03189,0.044536,0.606,0.028,0.11,32.793,1.041,4.672,2.721,10.502227984,11.1107217153
2003-05-28,WFM,0.725139,0.025566,0.053065,0.097601,0.557,0.035,0.11,33.15,1.076,4.515,2.981,11.0401115212,11.0255741283
2003-08-15,WFM,0.749043,0.028672,0.033434,0.131035,0.533,0.038,0.12,31.776,1.067,4.337,3.124,11.2290976289,13.8520586619
2003-12-23,WFM,0.750651,0.023812,0.034744,0.165779,0.542,0.032,0.1,38.814,1.278,5.185,3.24,13.8520586619,15.9731116343
2004-02-27,WFM,1.118148,0.038742,-0.001149,0.182489,0.559,0.035,0.16,40.334,1.409,5.755,3.393,16.0917547621,16.4072756457
2004-05-21,WFM,0.902141,0.035254,0.031761,0.214295,0.581,0.039,0.14,38.986,1.401,5.483,3.683,16.6346041122,15.5453841047
2004-08-13,WFM,0.917355,0.032889,-0.001067,0.213263,0.52,0.036,0.13,35.263,1.25,4.803,3.872,15.4618292318,19.6693546548
2004-12-10,WFM,0.927306,0.030228,0.003053,0.221537,0.538,0.033,0.12,42.775,1.517,5.934,3.97,19.6065801187,21.7768251965
2005-03-02,WFM,1.368328,0.04617,0.029735,0.261324,0.499,0.034,0.18,46.239,1.624,6.2,4.291,21.799889425,23.9563074598
2005-05-18,WFM,1.368328,0.047851,0.029735,0.261324,0.496,0.035,0.19,51.558,1.811,6.783,4.374,24.3682962518,24.212749463
2005-05-20,WFM,1.085158,0.042032,0.069801,0.331311,0.486,0.039,0.16,50.45,1.776,6.459,4.563,24.561678746,27.9637013997
2005-08-10,WFM,1.132736,0.041716,0.030131,0.361128,0.39,0.037,0.16,56.175,1.993,6.824,5.001,28.1659095448,31.5482083691
2005-12-08,WFM,1.115067,0.004752,-0.01589,0.345446,0.383,0.004,0.01,76.806,2.228,7.668,5.078,32.1074989242,27.8084012002
2006-02-24,WFM,1.666953,0.058318,0.15003,0.507587,0.65,0.035,0.21,60.305,1.771,6.974,4.615,27.6608304743,29.0252789142
2006-05-19,WFM,1.31152,0.051811,-0.191446,0.32943,0.437,0.04,0.18,59.004,1.768,6.829,4.851,28.6946552335,21.0329781627
2006-08-11,WFM,1.337886,0.053898,-0.219363,0.107116,0.442,0.04,0.19,39.624,1.231,4.638,5.123,20.6579343887,21.2068177956
