datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-20,WHR,2.585,0.053,-0.024,0.153,3.312,0.021,0.8,20.514,0.454,2.97,23.579,47.5420958632,41.5531161111
2001-10-18,WHR,2.594,-0.094,0.004,0.157,3.796,-0.036,-1.4,60.685,0.39,2.776,21.537,41.0863042995,54.1329938659
2002-03-05,WHR,2.648,0.021,0.159,0.316,3.778,0.008,0.43,242.811,0.493,3.497,21.761,53.0307853854,51.8107307151
2002-04-25,WHR,2.574,0.084,-0.178,0.138,3.543,0.033,1.25,79.721,0.491,3.359,22.571,52.0533552234,37.6798385356
2002-07-29,WHR,2.737,0.063,0.001,0.139,6.253,0.023,0.93,52.519,0.368,4.432,12.878,39.6923081969,34.0958993523
2002-11-07,WHR,2.759,0.101,0.044,0.183,6.415,0.037,1.48,11.647,0.292,3.581,12.83,32.1833905125,34.2993118252
2003-03-14,WHR,2.946,-0.03,0.009,0.192,7.973,-0.01,-0.42,-8.335,0.298,4.444,10.836,34.1502461074,39.0623164268
2003-05-13,WHR,2.716,0.091,-0.035,0.157,7.078,0.034,1.33,16.525,0.333,4.421,12.313,38.7144964186,48.1716907467
2003-08-11,WHR,2.988,0.094,0.033,0.19,6.221,0.031,1.37,18.162,0.408,4.678,14.469,48.2574054989,48.5352333912
2003-11-12,WHR,3.113,0.105,0.041,0.231,5.39,0.034,1.51,18.004,0.398,4.168,16.228,48.2337723143,48.4515437837
2004-03-12,WHR,3.359,0.124,0.018,0.249,4.658,0.037,1.82,11.258,0.383,3.582,18.937,49.3225827731,47.2175718821
2004-05-05,WHR,3.007,0.101,-0.061,0.188,4.456,0.034,1.47,10.609,0.361,3.317,19.709,47.3264517558,45.4929899082
2004-08-05,WHR,3.264,0.106,0.005,0.193,5.036,0.032,1.56,9.092,0.311,3.161,18.441,43.6297209672,45.9523850728
2004-11-08,WHR,3.318,0.101,0.026,0.219,4.686,0.03,1.53,9.535,0.318,2.985,20.783,45.6286212708,47.7155433766
2005-03-04,WHR,3.632,0.097,0.024,0.243,4.094,0.027,1.46,10.834,0.333,2.739,24.15,49.0654204243,48.7671050546
2005-03-16,WHR,3.632,0.097,0.024,0.243,4.094,0.027,1.46,10.567,0.325,2.671,24.15,47.8572431772,46.9846707209
2005-05-09,WHR,3.208,0.086,-0.059,0.184,4.026,0.027,1.28,10.897,0.317,2.61,24.371,47.3799385857,59.3223211236
2005-08-05,WHR,3.556,0.096,0.004,0.188,3.769,0.027,1.44,14.012,0.388,3.097,25.734,59.8630486994,60.8612279188
2005-11-04,WHR,3.599,0.114,0.04,0.228,3.368,0.032,1.7,13.763,0.386,2.857,28.254,60.5440456911,67.8513821565
2006-03-01,WHR,3.954,0.126,0.296,0.524,3.727,0.032,1.88,14.494,0.427,3.505,25.775,68.5879067837,67.7334189573
2006-05-15,WHR,3.536,0.118,-0.28,0.244,3.804,0.033,1.73,15.339,0.476,2.436,41.982,68.1301454481,61.0115910611
2006-08-08,WHR,4.734,0.091,0.057,0.301,3.734,0.019,1.16,13.481,0.383,2.021,38.397,59.3249172695,67.3043358628
2006-11-08,WHR,4.843,0.117,-0.192,0.109,3.487,0.024,1.49,15.175,0.402,2.207,39.693,67.458509121,69.3426759005
2007-02-28,WHR,4.954,0.109,0.153,0.262,3.227,0.022,1.39,16.032,0.384,2.115,42.036,68.6610231437,82.8275645927
2007-04-30,WHR,4.389,0.117,-0.021,0.241,3.026,0.027,1.48,19.28,0.442,2.429,43.774,82.5317796613,81.818384286
2007-07-27,WHR,4.854,0.161,0.102,0.343,3.006,0.033,2.04,16.001,0.424,2.261,45.266,80.1931122077,65.8689152331
2007-10-30,WHR,4.84,0.175,-0.085,0.258,2.84,0.036,2.24,11.245,0.332,1.676,48.148,64.173528473,70.5229596948
2008-02-22,WHR,5.325,0.187,-0.057,0.201,2.582,0.035,2.41,10.512,0.347,1.72,50.595,70.349355005,65.1873362822
2008-04-24,WHR,4.614,0.094,0.12,0.321,2.563,0.02,1.23,8.997,0.283,1.364,53.355,58.5901019085,54.3607043758
2008-07-23,WHR,5.076,0.117,0.14,0.461,2.522,0.023,1.55,9.963,0.288,1.355,55.95,61.1727427525,40.1206246342
2008-10-28,WHR,4.902,0.163,-0.036,0.425,2.643,0.033,2.18,6.01,0.169,0.849,53.244,36.7845902853,23.4635781047
2009-02-19,WHR,4.315,0.044,-0.279,0.146,3.502,0.01,0.61,4.601,0.102,0.64,40.512,21.2088685599,33.6325200076
2009-04-27,WHR,3.569,0.068,0.047,0.193,3.395,0.019,0.92,8.228,0.181,1.08,40.256,36.0767198412,47.008510151
2009-07-22,WHR,4.169,0.078,0.054,0.247,3.044,0.019,1.05,10.643,0.222,1.113,45.302,42.3443714974,61.7837605499
2009-10-23,WHR,4.497,0.087,0.478,0.725,3.11,0.019,1.17,20.683,0.346,1.596,48.059,64.7998565572,69.5569952217
2010-02-17,WHR,4.864,0.095,0.655,1.38,3.093,0.02,1.26,18.943,0.363,1.696,48.723,70.1907911932,86.8267416892
2010-04-26,WHR,4.272,0.164,-0.189,1.191,3.055,0.038,2.17,19.916,0.474,2.285,49.005,95.4907288271,77.9371056924
2010-07-20,WHR,4.534,0.205,-0.341,0.85,2.958,0.045,2.69,12.236,0.371,1.823,48.543,75.6679211352,72.5090416476
2010-10-27,WHR,4.519,0.079,0.051,0.901,2.848,0.017,1.04,11.346,0.339,1.529,52.654,69.5235770838,74.8092999227
2011-02-14,WHR,5.041,0.171,0.467,1.368,2.665,0.034,2.22,10.497,0.354,1.538,55.242,73.7307344683,76.2126082414
2011-04-27,WHR,4.401,0.169,-0.342,1.026,2.471,0.038,2.21,10.829,0.365,1.513,58.24,76.8978798156,66.0036944778
2011-07-21,WHR,4.73,-0.161,-0.181,0.845,2.595,-0.034,-2.1,21.552,0.297,1.264,57.266,63.5080497633,43.8896078199
2011-11-02,WHR,4.625,0.177,-0.334,0.511,2.516,0.038,2.31,10.916,0.207,0.917,55.124,44.7432857743,62.7417270041
2012-02-22,WHR,4.911,0.205,0.598,1.109,2.607,0.042,2.66,13.766,0.288,1.284,54.44,62.2707864106,61.6184026845
2012-04-26,WHR,4.349,0.092,-0.526,0.583,2.424,0.021,1.19,16.281,0.274,1.17,56.339,58.9976751498,60.6940147004
2012-07-24,WHR,4.511,0.113,-0.157,0.426,2.442,0.025,1.45,8.224,0.262,1.146,54.013,56.1313685203,78.3475470149
2012-10-23,WHR,4.495,0.074,0.092,0.518,2.43,0.016,0.95,15.09,0.4,1.686,55.338,85.1556411246,101.590457589
2013-02-19,WHR,4.788,0.122,0.65,1.168,2.589,0.025,1.56,22.057,0.487,2.076,54.13,102.758478659,111.828300591
2013-04-24,WHR,4.248,0.252,-0.418,0.75,2.401,0.059,3.18,16.828,0.523,2.11,56.431,109.3075807,109.944960533
2013-07-19,WHR,4.748,0.198,-0.08,0.67,2.335,0.042,2.48,15.818,0.559,2.248,56.967,118.731715358,121.214233868
2013-10-22,WHR,4.683,0.196,0.156,0.826,2.329,0.042,2.46,14.942,0.621,2.458,58.582,135.300518051,128.794493398
2014-02-18,WHR,5.09,0.181,0.554,1.38,2.134,0.036,2.31,12.8,0.564,2.15,62.806,127.028402626,144.391200474
2014-04-25,WHR,4.363,0.16,0.292,1.672,2.123,0.037,2.06,16.439,0.64,2.37,65.288,145.100739543,134.385857793
2014-07-23,WHR,4.682,0.179,-0.727,0.945,1.957,0.038,2.29,15.821,0.602,2.162,66.922,136.300293197,148.438233713
2014-10-28,WHR,4.824,0.23,0.042,0.987,2.0,0.048,2.92,17.449,0.69,2.518,66.301,158.491293252,203.509350498
2015-02-26,WHR,6.003,0.081,0.039,1.026,2.908,0.013,1.04,25.57,0.836,3.402,62.388,202.226429073,188.000255937
2015-04-28,WHR,4.846,0.191,-0.322,0.704,2.788,0.039,2.42,21.214,0.71,2.992,61.282,174.572345022,158.708905458
2015-07-22,WHR,5.208,0.177,-0.013,0.691,2.771,0.034,2.24,20.599,0.67,2.836,62.339,170.310573236,153.414789074
2015-10-23,WHR,5.277,0.235,0.007,0.698,2.845,0.045,2.98,16.679,0.535,2.346,61.713,140.061433739,127.622694737
2016-02-16,WHR,5.56,0.18,0.074,0.772,2.812,0.032,2.31,13.36,0.501,2.206,60.73,130.770058266,180.680674284
2016-04-26,WHR,4.616,0.15,-0.073,0.699,2.937,0.032,1.94,18.37,0.66,2.865,61.552,174.261091092,178.519054736
