datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2002-03-26,WLTW,,,,0.128,11.835,,,1831.414,2.572,5.263,13.557,122.925250563,122.925250563
2003-03-26,WLTW,,,,0.211,10.85,,,20.24,2.45,4.977,15.39,122.925250563,122.925250563
2003-05-15,WLTW,0.555,0.117,-0.022,0.189,11.389,0.211,2.09,,,4.819,17.245,122.925250563,122.925250563
2003-08-14,WLTW,0.492,0.08,0.092,0.286,10.798,0.163,1.4,,,4.16,18.334,122.925250563,122.925250563
2003-11-14,WLTW,0.452,0.099,-0.008,0.28,8.931,0.219,1.72,,,4.504,19.893,122.925250563,122.925250563
2004-03-15,WLTW,0.577,0.118,0.074,0.364,7.262,0.205,2.01,13.978,2.788,4.371,22.627,122.925250563,122.925250563
2004-05-10,WLTW,0.665,0.148,-0.154,0.211,8.524,0.223,2.49,12.348,2.514,4.073,22.617,122.925250563,122.925250563
2004-08-09,WLTW,0.532,0.096,0.174,0.383,8.209,0.18,1.62,11.413,2.364,3.827,23.053,122.925250563,122.925250563
2004-11-09,WLTW,0.49,0.075,-0.112,0.27,7.721,0.153,1.27,13.196,2.547,4.329,22.475,122.925250563,122.925250563
2005-03-08,WLTW,0.588,0.108,0.066,0.351,7.169,0.184,1.85,15.159,2.845,4.546,24.496,122.925250563,122.925250563
2005-05-06,WLTW,0.669,0.072,-0.146,0.2,8.106,0.108,1.17,16.549,2.549,3.914,24.118,122.925250563,122.925250563
2005-08-08,WLTW,0.549,0.119,-0.047,0.156,8.104,0.217,1.93,13.868,2.259,3.676,22.931,122.925250563,122.925250563
2005-11-07,WLTW,0.487,0.049,0.041,0.185,8.665,0.101,0.82,16.713,2.536,4.587,20.993,122.925250563,122.925250563
2006-03-02,WLTW,0.562,0.06,0.009,0.193,8.744,0.107,1.01,18.334,2.426,4.407,20.923,122.925250563,122.925250563
2006-05-09,WLTW,0.671,0.14,-0.036,0.158,9.187,0.209,2.36,14.66,2.378,3.935,23.133,122.925250563,122.925250563
2006-08-09,WLTW,0.593,0.072,0.045,0.21,9.602,0.121,1.22,17.881,2.482,3.992,24.263,122.925250563,122.925250563
2006-11-08,WLTW,0.543,0.089,-0.054,0.154,8.708,0.164,1.51,17.165,2.616,4.178,25.022,122.925250563,122.925250563
2007-02-28,WLTW,0.621,0.148,0.13,0.288,8.172,0.238,2.49,13.533,2.503,4.179,24.533,122.925250563,122.925250563
2007-05-10,WLTW,0.739,0.169,-0.036,0.253,11.9,0.229,2.94,12.902,2.471,5.377,19.99,122.925250563,122.925250563
2007-08-08,WLTW,0.626,0.078,-0.115,0.142,11.207,0.125,1.46,11.643,2.228,4.593,22.89,122.925250563,122.925250563
2007-11-09,WLTW,0.574,0.067,0.063,0.21,9.295,0.117,1.25,12.496,2.255,4.451,24.026,122.925250563,122.925250563
2008-02-27,WLTW,0.639,0.095,-0.011,0.2,8.577,0.149,1.77,11.905,1.889,3.615,25.129,122.925250563,122.925250563
2008-05-09,WLTW,0.795,0.166,-0.01,0.195,9.555,0.209,3.1,12.651,1.95,3.574,26.807,122.925250563,122.925250563
2008-08-06,WLTW,0.661,0.039,0.012,0.205,10.213,0.059,0.74,12.114,1.666,3.083,27.092,122.925250563,122.925250563
2008-11-10,WLTW,0.579,0.036,-0.038,0.156,9.623,0.062,0.66,12.395,1.558,2.966,26.192,122.925250563,122.925250563
2009-02-27,WLTW,0.799,0.062,0.035,0.176,7.863,0.078,0.93,12.054,1.289,1.98,29.442,122.925250563,122.925250563
2009-05-08,WLTW,0.93,0.193,-0.022,0.147,7.411,0.208,3.07,13.527,1.503,2.202,32.153,122.925250563,122.925250563
2009-08-07,WLTW,0.784,0.087,-0.055,0.103,7.431,0.111,1.38,11.679,1.428,2.088,33.311,122.925250563,122.925250563
2009-11-06,WLTW,0.725,0.079,0.094,0.203,6.578,0.109,1.22,11.056,1.437,2.16,33.911,122.925250563,122.925250563
2010-03-01,WLTW,0.824,0.079,-0.013,0.191,6.144,0.096,1.25,11.629,1.561,2.337,34.205,122.925250563,122.925250563
2010-05-10,WLTW,0.972,0.204,0.015,0.196,6.478,0.21,3.21,12.44,1.69,2.378,36.709,122.925250563,122.925250563
2010-08-06,WLTW,0.799,0.089,-0.053,0.139,6.077,0.111,1.38,11.666,1.585,2.191,37.353,122.925250563,122.925250563
2010-11-05,WLTW,0.733,0.064,-0.004,0.141,5.366,0.087,1.01,12.789,1.675,2.257,38.348,122.925250563,122.925250563
2011-02-28,WLTW,0.835,0.098,0.144,0.316,5.137,0.117,1.54,14.638,1.995,2.584,39.861,122.925250563,122.925250563
2011-05-10,WLTW,1.008,0.034,0.11,0.432,5.54,0.034,0.53,24.501,2.069,2.655,40.498,122.925250563,122.925250563
2011-08-09,WLTW,0.863,0.085,-0.117,0.317,5.616,0.098,1.3,22.046,1.801,2.288,41.44,122.925250563,122.925250563
2011-11-09,WLTW,0.762,0.06,0.057,0.363,5.17,0.079,0.93,22.656,1.81,2.335,41.028,122.925250563,122.925250563
2012-02-29,WLTW,0.814,0.025,0.074,0.436,5.314,0.031,0.34,30.628,1.813,2.513,37.817,122.925250563,122.925250563
2012-05-10,WLTW,1.013,0.225,0.025,0.464,5.378,0.222,3.42,15.838,1.812,2.339,40.833,122.925250563,122.925250563
2012-08-09,WLTW,0.842,0.108,-0.053,0.407,5.544,0.128,1.64,14.634,1.783,2.276,41.111,122.925250563,122.925250563
2012-11-07,WLTW,0.754,0.026,0.015,0.424,5.35,0.034,0.4,15.393,1.727,2.211,40.96,122.925250563,122.925250563
2013-02-28,WLTW,0.871,-0.805,0.075,0.5,7.879,-0.924,-12.32,-14.827,1.9,3.892,25.917,122.925250563,122.925250563
2013-05-08,WLTW,1.051,0.219,0.036,0.531,7.458,0.208,3.36,-15.761,2.025,3.82,28.378,122.925250563,122.925250563
2013-08-06,WLTW,0.89,0.105,-0.024,0.503,7.05,0.118,1.59,-16.479,2.103,3.793,29.719,122.925250563,122.925250563
