datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-04,WMT,53.269,1.622,0.357,1.834,1.466,0.03,0.36,33.949,1.055,6.543,7.4,35.8153256071,40.719850771
2001-11-29,WMT,53.214,1.481,0.199,2.033,1.577,0.028,0.33,37.549,1.148,7.106,7.675,40.460724448,45.4425629816
2002-04-15,WMT,64.765,2.189,0.128,2.161,1.377,0.034,0.49,39.988,1.214,7.6,7.893,44.4777527272,40.3958631894
2002-06-10,WMT,55.418,1.652,0.257,2.418,1.375,0.03,0.37,36.128,1.107,6.998,8.052,41.8579218057,40.7087319978
2002-09-11,WMT,60.255,2.038,-0.13,2.288,1.396,0.034,0.46,32.569,1.026,6.485,8.329,40.2777158503,39.4551618927
2002-12-06,WMT,59.33,1.82,-0.193,2.095,1.514,0.031,0.41,30.409,0.976,6.154,8.605,39.4700450167,40.4394416936
2003-04-15,WMT,71.586,2.529,0.663,2.758,1.407,0.035,0.57,30.164,0.984,6.164,8.922,41.2755534657,40.1781567648
2003-06-09,WMT,57.224,1.861,-0.27,2.468,1.4,0.033,0.42,28.557,0.948,5.859,9.166,40.1557609137,42.6663098679
2003-09-10,WMT,63.232,2.444,1.984,4.472,1.319,0.039,0.56,28.702,0.988,5.832,9.729,42.5092834908,39.6555289983
2003-12-11,WMT,63.035,2.028,-1.16,3.312,1.486,0.032,0.46,25.79,0.896,5.419,9.668,39.5506796299,42.6248833389
2004-04-09,WMT,75.19,2.721,1.887,5.199,1.405,0.036,0.63,26.903,0.942,5.584,10.082,43.113614582,42.65820661
2004-06-04,WMT,65.443,2.166,-1.371,3.828,1.538,0.033,0.5,25.815,0.905,5.7,9.871,42.6506698244,40.0554248875
2004-09-03,WMT,70.466,2.651,0.881,4.709,1.551,0.038,0.62,23.616,0.824,5.236,10.118,40.2291847465,40.0403153345
2004-12-03,WMT,69.261,2.286,-0.07,4.639,1.631,0.033,0.54,22.817,0.8,4.994,10.581,39.9874318992,38.6151548273
2005-03-31,WMT,82.819,3.164,0.849,5.488,1.434,0.038,0.74,20.66,0.737,4.294,11.655,38.0606885994,36.7406166608
2005-06-03,WMT,71.68,2.461,-0.533,4.955,1.59,0.034,0.58,18.748,0.673,4.196,11.162,36.0777312088,34.5415792428
2005-08-31,WMT,77.52,2.805,0.718,5.673,1.614,0.036,0.67,17.465,0.621,3.922,11.43,34.3657756751,36.7123711226
2005-12-02,WMT,76.253,2.374,-1.138,4.535,1.64,0.031,0.57,18.486,0.648,4.001,11.985,36.6665093224,36.7442325087
2006-03-29,WMT,90.128,3.591,1.879,6.414,1.599,0.04,0.86,17.829,0.634,3.766,12.766,36.9750863255,37.3698792915
2006-06-02,WMT,80.468,2.615,-0.556,5.858,1.635,0.032,0.63,17.509,0.615,3.739,12.794,36.9374111699,34.4875767198
2006-08-30,WMT,85.43,2.083,0.759,6.386,1.568,0.024,0.5,17.446,0.56,3.3,13.525,34.5883495895,36.3479989299
2006-11-30,WMT,84.467,2.647,-0.709,5.908,1.572,0.031,0.63,17.57,0.564,3.27,14.095,35.7356099524,37.3988043712
2007-03-27,WMT,99.078,3.939,1.465,7.373,1.456,0.04,0.95,17.358,0.562,3.181,14.83,37.1251927172,37.3847004386
2007-06-01,WMT,86.41,2.826,-0.81,6.563,1.594,0.033,0.69,17.683,0.572,3.393,14.534,38.8533850987,33.4620368949
2007-09-10,WMT,93.012,2.952,-0.469,6.094,1.52,0.032,0.72,13.908,0.474,2.761,15.184,33.3673106758,37.282661065
2007-11-29,WMT,91.949,2.857,-1.144,4.95,1.617,0.031,0.71,15.141,0.514,3.018,15.571,37.5273704643,41.5256136282
2008-03-31,WMT,107.428,4.096,0.225,5.569,1.531,0.038,1.02,16.363,0.55,3.224,16.201,41.9717829228,46.6974354448
2008-06-09,WMT,95.303,3.022,2.503,8.072,1.649,0.032,0.76,18.173,0.606,3.715,15.979,47.6574649554,48.0297462678
2008-09-04,WMT,102.667,3.449,-1.131,6.907,1.499,0.034,0.87,17.519,0.592,3.521,16.931,48.0217131943,46.2383708843
2008-12-09,WMT,98.642,3.138,-1.021,5.92,1.561,0.032,0.8,15.974,0.542,3.34,16.672,44.8325830273,42.2750754728
