datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2006-08-18,WYN,0.955,0.075,,0.148,0.916,0.079,0.37,,,1.083,25.654,22.7904258632,24.612346836
2006-11-14,WYN,1.047,0.092,0.012,0.16,1.524,0.088,0.46,,,1.648,18.23,24.6615879434,28.2151545256
2007-03-07,WYN,0.97,0.093,0.109,0.269,1.675,0.096,0.48,22.753,1.7,1.835,18.841,28.371084699,30.3407289939
2007-05-10,WYN,1.012,0.086,-0.095,0.174,1.861,0.085,0.46,18.936,1.645,1.918,18.738,29.4954233173,26.2537170818
2007-08-09,WYN,1.1,0.096,0.077,0.251,2.028,0.087,0.53,14.92,1.326,1.659,18.478,25.1950332733,24.2500140866
2007-11-08,WYN,1.216,0.117,-0.02,0.231,1.993,0.096,0.65,13.362,1.219,1.537,19.154,24.2253614122,18.6380582875
2008-02-29,WYN,1.032,0.105,-0.021,0.21,1.975,0.102,0.59,9.738,0.9,1.116,19.862,18.2430795689,19.4632433146
2008-05-08,WYN,1.012,0.042,0.019,0.229,2.06,0.042,0.24,11.256,0.929,1.146,19.997,18.8861882396,15.2297195897
2008-08-08,WYN,1.132,0.098,0.011,0.24,1.999,0.087,0.55,9.682,0.798,0.961,20.55,16.3116573696,5.86866228514
2008-11-10,WYN,1.226,0.142,-0.012,0.228,1.93,0.116,0.8,3.151,0.277,0.325,21.144,5.68655992933,3.02007751475
2009-02-27,WYN,0.911,-1.356,-0.092,0.136,3.088,-1.488,-7.64,-0.61,0.153,0.28,13.194,3.12159272533,10.6337183082
2009-05-07,WYN,0.901,0.045,-0.001,0.135,2.97,0.05,0.25,-2.047,0.526,0.921,13.359,10.4137686853,12.2148775721
2009-08-07,WYN,0.92,0.071,0.039,0.174,2.737,0.077,0.4,-2.531,0.702,1.107,14.053,13.2080260613,14.5256920436
2009-11-05,WYN,1.016,0.104,-0.004,0.17,2.556,0.102,0.58,-2.797,0.848,1.21,14.708,15.1383750121,19.3572202762
