datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2002-11-14,XEC,0.032547,0.00993,,0.015306,0.519,0.305,0.37,,,1.396,16.017,13.8298985547,16.9931701097
2003-03-18,XEC,,,0.004955,0.020261,0.516,,,,,1.726,10.721,17.4168225501,19.2149917972
2003-05-12,XEC,0.136384,0.032748,-0.00303,0.017231,0.495,0.24,0.79,,,1.805,11.558,19.6292297389,19.2526497919
2003-08-11,XEC,0.099063,0.02104,0.028193,0.04749,0.469,0.212,0.51,,,1.726,12.096,19.6292297389,19.9869806886
2003-11-07,XEC,0.112113,0.022541,0.009368,0.056858,0.469,0.201,0.54,,,1.723,12.635,20.4859491184,26.5300572683
2004-03-11,XEC,0.106652,0.018304,0.00717,0.04042,0.506,0.172,0.44,12.085,2.518,2.139,12.901,26.0593323345,26.0593323345
2004-03-12,XEC,0.106652,0.018304,0.00717,0.04042,0.506,0.172,0.44,12.518,2.608,2.215,12.901,26.9913677034,27.3585331517
2004-05-05,XEC,0.135919,0.029865,-0.001927,0.038493,0.511,0.22,0.72,13.144,2.658,2.113,13.818,27.4432636398,30.051079773
2004-08-05,XEC,0.170193,0.03647,0.019588,0.058081,0.558,0.214,0.88,11.787,2.407,2.078,14.692,28.7330499584,33.5156152857
2004-11-04,XEC,0.170273,0.039182,0.034116,0.092197,0.539,0.23,0.94,12.431,2.64,2.365,15.681,34.8336451003,37.5073627242
2005-03-15,XEC,0.198544,0.048075,0.023549,0.115746,0.578,0.242,1.15,10.817,2.462,2.371,16.817,37.4508757321,34.0145837155
2005-05-09,XEC,0.191707,0.043365,-0.002721,0.113025,0.556,0.226,1.04,9.225,2.11,2.067,17.859,34.7395001135,39.6726974196
2005-08-09,XEC,0.252458,0.052477,-0.05572,0.057305,0.735,0.208,1.01,18.406,4.145,1.463,44.328,38.6559315626,37.3473162467
2005-11-07,XEC,0.404377,0.064075,-0.029832,0.027473,0.668,0.158,0.78,15.287,3.037,1.31,29.495,36.3305503897,37.9775442924
2006-03-09,XEC,0.27008,0.168408,0.034174,0.061647,0.611,0.624,2.35,10.048,2.949,1.271,40.077,37.5346300042,40.9083175617
2006-05-05,XEC,0.33525,0.110151,-0.010972,0.050675,0.601,0.329,1.33,9.215,2.885,1.343,32.796,41.5397060152,39.1254120594
2006-08-03,XEC,0.313381,0.082866,-0.045286,0.005389,0.595,0.264,1.01,7.741,2.489,1.179,34.036,37.5596409885,34.6614391937
2006-11-06,XEC,0.322882,0.093957,0.002695,0.008084,0.584,0.291,1.15,6.668,2.446,1.045,35.425,34.6047874271,32.7222553241
2007-02-28,XEC,0.295631,0.058745,-0.003036,0.005048,0.623,0.199,0.71,8.392,2.289,0.975,36.26,32.977750088,38.2201241336
2007-05-09,XEC,0.306875,0.064628,0.002303,0.007351,0.633,0.211,0.79,10.964,2.657,1.09,36.723,37.3968632275,35.3794978861
2007-08-02,XEC,0.342084,0.078707,0.01206,0.019411,0.638,0.23,0.96,10.22,2.387,0.977,37.631,34.4796177524,38.1678860171
2007-11-07,XEC,0.343753,0.073156,-0.019388,0.007396,0.663,0.213,0.9,12.267,2.621,1.077,38.443,38.81270993,49.8046107537
2008-02-28,XEC,0.438454,0.129978,0.123027,0.12305,0.645,0.296,1.59,12.885,3.119,1.37,40.134,51.2588293501,50.5649864904
2008-03-13,XEC,0.438454,0.129978,0.123027,0.12305,0.645,0.296,1.59,12.966,3.139,1.378,40.134,51.5819890382,60.2312630431
2008-05-06,XEC,0.477076,0.149835,0.024237,0.148011,0.648,0.314,1.84,13.047,3.517,1.657,41.804,64.6129282259,47.3271878848
2008-08-05,XEC,0.616383,0.229308,0.021514,0.169486,0.648,0.372,2.81,7.118,2.21,1.145,44.447,47.460369921,35.7227599217
2008-11-04,XEC,0.576549,-0.232129,0.032582,0.201883,0.639,-0.403,-2.85,11.649,1.53,0.948,41.723,36.9036776051,18.9235138903
2009-02-27,XEC,0.300339,-1.048699,-0.20017,0.001715,0.773,-3.492,-12.88,-1.816,0.831,0.697,28.799,18.7991429699,26.9406547599
2009-05-06,XEC,0.209179,-0.4941,0.001745,0.00346,0.813,-2.362,-6.05,-1.584,1.438,1.32,22.258,28.1173950068,35.5613998861
2009-08-07,XEC,0.222685,0.038807,2e-06,0.003518,0.798,0.174,0.46,-1.823,2.418,1.672,22.691,36.3763686082,38.1898985182
2009-11-03,XEC,0.249134,0.038705,2e-06,0.003555,0.757,0.155,0.46,-2.41,3.599,1.827,23.149,40.6097764228,55.9547728979
