datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,XL,0.791719,0.128606,0.739695,1.676981,2.295,0.162,1.03,20.878,3.525,1.793,45.291,53.3380365873,58.8693885297
2001-10-29,XL,0.844964,-0.840032,0.452531,2.129512,4.362,-0.994,-6.7,-22.305,3.61,2.292,38.163,57.9474965393,59.6151222784
2002-03-26,XL,1.652943,-0.083638,-0.265651,1.863861,4.143,-0.051,-0.62,-20.919,2.971,2.217,41.623,59.1826465029,61.1121538088
2002-05-14,XL,1.165106,0.089493,0.202552,2.066413,4.636,0.077,0.66,-17.644,2.795,2.284,40.335,61.1454211761,45.2067895425
2002-08-06,XL,1.168068,-0.091748,0.212341,2.278754,4.802,-0.079,-0.68,-10.145,1.944,1.747,39.624,46.5734281542,51.501405808
2002-11-08,XL,2.339777,0.186436,0.458691,2.737445,4.731,0.079,1.36,106.972,1.66,1.765,43.808,52.0467148106,48.5504472448
2003-03-31,XL,1.905098,0.22139,0.82037,3.557815,4.426,0.112,1.58,24.331,1.465,1.466,48.345,48.2640541572,56.2762417292
2003-05-15,XL,1.79244,0.250005,-0.405487,3.152328,4.499,0.134,1.76,20.703,1.57,1.66,50.011,56.4603515713,59.5932149278
2003-06-18,XL,1.79244,0.250005,-0.405487,3.152328,4.499,0.134,1.76,21.663,1.642,1.737,50.011,59.4149153204,53.2704365431
2003-08-14,XL,1.891888,0.357672,-0.145201,3.007127,4.177,0.184,2.54,10.8,1.343,1.407,55.306,53.2292904798,51.6394611694
2003-11-14,XL,1.969332,0.109051,-0.947518,2.059609,4.349,0.05,0.72,11.378,1.356,1.385,54.092,51.5152449057,52.3974398515
2004-03-15,XL,2.363348,-0.304749,0.343512,2.403121,4.876,-0.133,-2.31,26.903,1.247,1.441,50.49,50.6359464093,52.1947283045
2004-05-10,XL,2.157008,0.462249,0.243736,2.646857,4.999,0.21,3.29,17.529,1.221,1.39,53.499,51.8032853174,48.5510835676
2004-08-09,XL,3.179262,0.373684,0.098021,2.744878,5.424,0.114,2.64,15.886,0.986,1.347,51.408,48.4596105116,51.6360318647
2004-11-05,XL,2.369731,0.032552,-0.47768,2.267198,5.352,0.009,0.16,19.245,1.0,1.366,53.402,51.4801388084,52.5201737826
2005-03-11,XL,2.322459,0.298128,-0.389401,2.304303,5.334,0.124,2.09,8.993,1.01,1.309,55.991,52.3047800419,53.0442985518
2005-05-06,XL,2.401161,0.453025,-0.016741,2.287562,5.509,0.184,3.21,9.264,1.007,1.324,56.617,53.029938969,51.044071146
2005-08-04,XL,4.108461,0.145975,0.180213,2.467775,5.37,0.033,0.98,11.19,0.888,1.189,60.25,51.2319989072,51.0692439079
2005-11-09,XL,2.296307,-1.039121,-0.317166,2.150609,6.793,-0.457,-7.53,-54.102,0.886,1.401,50.546,51.0983680846,49.3526199028
2006-03-07,XL,2.479486,-0.811855,1.643443,3.693475,5.9,-0.331,-5.75,-9.427,1.08,1.438,56.799,49.7781367683,49.0948821576
2006-05-05,XL,2.473262,0.468583,-1.430651,2.262824,5.92,0.185,2.57,-9.429,1.06,1.418,47.587,49.2645819306,45.0632013533
2006-08-09,XL,2.499325,0.387169,0.303944,2.566768,5.847,0.151,2.11,-10.505,1.116,1.273,47.823,44.7588707232,53.1666307543
2006-11-09,XL,2.364164,0.42587,-0.438547,2.128221,5.219,0.176,2.33,29.686,1.299,1.339,53.261,52.7037929129,52.8754908218
2006-11-14,XL,2.364164,0.42587,-0.438547,2.128221,5.219,0.176,2.33,29.909,1.308,1.349,53.261,53.099444616,53.2946206326
2007-03-01,XL,2.496444,0.481145,0.095527,2.223748,4.799,0.189,2.63,7.367,1.291,1.253,56.54,52.6041397006,60.3498455894
2007-05-09,XL,2.483442,0.562507,1.147051,3.370799,4.226,0.221,3.07,7.756,1.429,1.184,66.429,60.6064286518,59.0349204467
2007-08-01,XL,2.596696,0.554615,-0.626447,2.744352,4.223,0.21,3.05,7.164,1.428,1.231,64.607,59.2093107845,49.3645003454
2007-11-09,XL,2.153287,0.371636,0.440887,3.185239,4.325,0.152,1.83,6.093,1.186,1.009,63.954,49.2882970413,29.488309375
2008-02-29,XL,1.902297,-1.212869,0.694791,3.88003,4.806,-0.639,-6.79,31.086,0.702,0.645,56.096,27.6553559444,27.9229156801
2008-05-07,XL,2.174112,0.244373,0.024936,3.904966,4.921,0.097,1.2,-46.084,0.686,0.655,52.487,26.2548337487,14.7434695889
2008-07-28,XL,2.124599,0.237851,-0.200717,3.704249,4.939,0.112,1.35,-7.507,0.394,0.375,49.64,14.429277376,7.69523266079
2008-11-03,XL,1.743801,-1.616524,1.905754,5.610003,4.863,-0.946,-6.09,-1.397,0.425,0.39,31.976,8.09189413815,2.70836522909
2009-03-02,XL,1.105607,-1.419513,-1.256177,4.353826,6.388,-1.296,-5.27,-0.421,0.155,0.181,25.602,2.65108862304,8.4595854236
2009-05-08,XL,1.531408,0.003097,0.712361,5.066187,6.13,0.116,0.53,-1.427,0.585,0.619,18.266,9.36025770253,12.3766299554
2009-08-06,XL,1.725469,0.085541,-1.076815,3.989372,5.052,0.046,0.23,-1.706,0.789,0.645,21.842,11.9521913424,13.807183053
2009-11-05,XL,1.48583,0.021098,-0.083095,3.906277,4.128,-0.008,-0.03,-4.785,0.971,0.619,26.814,14.1658111843,15.686275906
2010-03-01,XL,1.45094,-0.034745,-0.26258,3.643697,3.813,-0.028,-0.12,30.769,1.026,0.674,27.327,15.9524360336,15.5282072891
2010-05-06,XL,1.636749,0.14388,-0.268178,3.375519,3.552,0.078,0.37,38.539,0.956,0.6,29.349,15.1915757803,15.8607841953
2010-08-06,XL,1.552692,0.194005,0.425675,3.801194,3.307,0.124,0.56,22.951,1.004,0.586,30.718,15.6177070429,18.4340509931
2010-11-05,XL,1.620142,0.110043,0.156435,3.957629,3.253,0.048,0.23,18.831,1.074,0.619,32.09,18.1461552606,20.1343508398
2011-02-25,XL,1.588999,0.195449,-0.934761,3.022868,3.235,0.118,0.57,12.367,1.132,0.682,32.924,20.4060813039,20.6568526792
2011-05-09,XL,1.614858,-0.227284,0.362937,3.385805,3.461,-0.141,-0.73,31.574,1.14,0.708,32.969,20.6920882488,19.2776973167
2011-08-04,XL,1.695182,0.225663,-0.526463,2.859342,3.38,0.133,0.73,22.933,0.929,0.57,34.373,18.0025533509,18.8521361825
2011-11-03,XL,1.658019,0.042398,0.316941,3.176283,3.261,0.026,0.14,30.162,1.053,0.631,35.103,19.1816255726,17.9822447767
2012-02-27,XL,1.728744,-0.515537,0.648842,3.825125,3.144,-0.298,-1.65,-13.511,0.958,0.596,33.738,18.1971720051,19.198219112
2012-05-09,XL,1.752432,0.176628,-1.318807,2.506318,3.08,0.101,0.56,-97.893,1.015,0.627,35.08,20.0262716944,19.3393786722
2012-08-08,XL,1.746739,0.221156,0.804828,3.311146,3.008,0.127,0.71,-92.416,1.011,0.621,36.201,20.6153975738,22.3107153246
2012-11-07,XL,1.817484,0.171902,-0.113841,3.197305,2.911,0.095,0.57,132.846,1.021,0.612,38.65,21.7561294913,26.2628687204
2013-02-28,XL,1.913825,0.081448,-0.578927,2.618378,2.828,0.043,0.28,12.974,1.168,0.712,39.46,26.1532879051,29.4771845105
