datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,XOM,56.184,4.46,-1.608,9.298,1.023,0.079,0.66,14.839,1.204,3.898,10.62,27.545493649,26.8107925616
2001-11-13,XOM,52.113,3.18,-0.272,9.026,1.003,0.061,0.46,15.512,1.206,3.753,10.792,27.1052695643,29.4494861414
2002-03-27,XOM,47.891,2.68,-2.479,6.547,0.957,0.056,0.39,19.487,1.398,4.081,10.771,29.5908759926,27.0955459419
2002-05-14,XOM,43.531,2.09,0.075,6.622,0.963,0.048,0.3,22.177,1.378,3.803,10.67,27.4815609679,24.3512111632
2002-08-13,XOM,50.909,2.64,-0.922,5.7,0.973,0.052,0.4,22.231,1.211,3.134,11.116,23.7446458697,23.2375375025
2002-11-12,XOM,54.182,2.64,1.237,6.937,1.001,0.049,0.39,22.791,1.166,3.067,11.1,23.3541711422,24.6399520457
2003-03-26,XOM,55.884,4.09,0.292,7.229,1.046,0.073,0.6,20.934,1.173,3.216,11.151,24.7711993372,24.7162294435
2003-05-14,XOM,63.78,7.04,5.099,12.328,1.042,0.11,1.05,14.332,1.046,2.955,11.915,24.4936233804,25.7119050822
2003-08-13,XOM,57.165,4.17,0.193,12.521,0.999,0.073,0.63,13.503,1.049,2.933,12.443,25.5648198175,25.405991525
2003-11-13,XOM,59.841,3.65,-1.506,11.015,0.994,0.061,0.55,12.648,1.013,2.861,12.673,25.5752707578,29.8269862755
2004-03-15,XOM,65.952,6.65,-0.389,10.626,0.938,0.101,1.01,12.737,1.11,3.047,13.712,29.6495714155,31.1043732681
2004-05-07,XOM,67.602,5.44,5.268,15.894,0.966,0.08,0.83,14.207,1.129,3.085,14.018,30.6927707927,32.7298282257
2004-08-06,XOM,70.693,5.79,-1.717,18.778,0.935,0.082,0.89,13.633,1.111,3.138,14.378,32.2227765556,36.2016817761
2004-11-08,XOM,76.375,5.68,1.931,20.71,0.964,0.074,0.88,13.738,1.153,3.391,14.794,36.043627202,45.9179195276
2005-02-28,XOM,83.365,8.42,2.423,23.135,0.919,0.101,1.31,15.96,1.356,3.973,15.936,45.9542125402,41.5409822094
2005-05-05,XOM,82.051,7.86,6.634,29.769,0.941,0.096,1.23,13.259,1.177,3.548,16.29,41.9547225529,43.042537346
2005-08-04,XOM,88.568,7.64,0.483,30.252,0.929,0.086,1.21,12.465,1.117,3.528,16.589,42.692360771,42.9357049913
2005-11-04,XOM,100.717,9.92,3.592,33.844,0.944,0.098,1.6,10.646,1.016,3.339,17.339,42.4445504353,44.3813154417
2006-02-28,XOM,99.344,10.71,-0.569,33.275,0.874,0.108,1.72,10.034,0.978,3.261,18.208,43.9739435543,47.2329186535
2006-05-04,XOM,88.98,8.4,3.274,36.549,0.921,0.094,1.38,10.446,1.014,3.406,18.588,46.8922076204,50.8937047715
2006-08-04,XOM,99.034,10.36,0.168,36.717,0.909,0.105,1.74,10.367,1.052,3.528,19.473,51.1319084504,54.2395148822
2006-11-08,XOM,99.593,10.49,0.621,37.338,0.921,0.105,1.79,10.773,1.113,3.692,19.99,55.1967267814,54.1772437775
2007-02-28,XOM,90.028,10.25,-4.49,32.848,0.924,0.114,1.77,10.332,1.081,3.585,19.996,54.0641073921,60.9654269043
2007-05-08,XOM,87.223,9.28,1.75,34.598,0.957,0.106,1.64,11.353,1.22,4.017,20.256,61.3802603176,63.2872086048
