datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-06-27,XRX,5.12,0.008,1.587,1.741,7.438,0.002,0.0,-23.205,0.319,1.707,20.125,27.7592475229,27.1129320975
2001-07-12,XRX,4.202,0.201,1.037,2.778,7.33,0.048,1.12,31.905,0.323,1.702,19.598,26.9513532411,26.8867216986
2001-08-13,XRX,4.137,-0.281,-0.601,2.177,7.255,-0.068,-1.6,-25.62,0.342,1.852,18.449,27.5976686665,22.2009348641
2001-11-13,XRX,3.902,-0.211,0.25,2.427,7.793,-0.054,-1.16,-18.063,0.294,1.663,17.078,22.9441976033,25.8526170178
2002-06-28,XRX,4.767,0.218,1.554,3.99,5.837,0.046,1.24,-71.374,0.298,1.251,22.282,22.5240925768,22.5240925768
2002-07-01,XRX,3.858,-0.046,0.757,4.747,6.05,-0.012,-0.24,-15.563,0.299,1.265,21.66,22.1363033215,20.8436724706
2002-08-09,XRX,3.952,0.093,-2.856,1.891,10.358,0.024,0.52,84.777,0.278,2.28,11.001,20.2619885877,24.6569334808
2002-11-07,XRX,3.793,0.105,0.39,2.281,10.083,0.011,0.24,17.532,0.329,2.678,10.934,23.6551445713,22.8472502895
2002-11-12,XRX,3.793,0.105,0.39,2.281,10.083,0.011,0.24,17.293,0.324,2.641,10.934,23.3319868586,29.0841941451
2003-03-27,XRX,3.793,0.099,0.39,2.281,10.601,0.009,0.2,21.388,0.401,3.436,10.396,28.8579837462,28.2762998633
2003-03-31,XRX,4.246,0.019,0.606,2.887,5.098,0.002,0.04,357.821,0.406,1.543,22.558,28.1147210069,31.7664031607
2003-04-30,XRX,3.757,-0.065,0.148,3.035,5.264,-0.02,-0.4,105.97,0.464,1.807,21.824,31.8633504745,32.9620866977
2003-08-11,XRX,3.92,0.086,-0.756,2.279,3.337,0.019,0.4,156.92,0.509,1.414,28.634,32.7035605276,33.9315598359
2003-11-03,XRX,3.732,0.117,-0.009,2.27,3.745,0.025,0.48,83.341,0.538,1.639,25.949,34.3516648625,45.7268163503
2004-02-27,XRX,4.292,0.222,0.207,2.477,4.256,0.046,1.04,39.03,0.718,2.411,23.462,45.694500579,43.4000808187
2004-05-03,XRX,3.827,0.248,-0.179,2.298,3.847,0.059,1.12,18.495,0.69,2.193,24.787,43.9171331591,44.7896589834
