datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-30,YUM,1.605,0.116,0.025,0.183,-38.239,0.072,0.2,17.105,0.962,-57.163,-0.199,6.3595456384,6.99954228633
2001-10-22,YUM,1.64,0.124,0.001,0.184,-72.623,0.076,0.21,16.045,1.055,-119.946,-0.104,6.9591214454,8.13806263896
2002-03-11,YUM,2.202,0.164,-0.074,0.11,41.192,0.074,0.28,17.233,1.219,81.526,0.176,8.0504841503,8.83195374146
2002-05-03,YUM,1.614,0.124,0.026,0.136,15.674,0.077,0.21,17.641,1.319,35.283,0.445,8.79826970736,8.17578251408
2002-07-29,YUM,1.767,0.14,0.033,0.169,11.811,0.079,0.23,15.968,1.22,22.258,0.667,8.30449093149,5.96255733659
2002-10-17,YUM,1.915,0.147,0.017,0.186,8.677,0.077,0.24,11.518,0.883,12.426,0.902,6.27033833472,6.24795426213
2003-03-11,YUM,2.461,0.172,-0.056,0.13,8.091,0.07,0.29,11.286,0.848,11.077,1.012,6.27593435287,6.91108241266
2003-05-01,YUM,1.802,0.117,0.045,0.175,7.026,0.065,0.2,12.425,0.901,10.372,1.18,6.84672820396,8.09184224186
2003-07-22,YUM,1.936,0.122,-0.011,0.164,5.758,0.063,0.21,15.164,1.043,10.195,1.414,8.0666601602,9.26420804385
2003-10-17,YUM,1.989,0.164,0.134,0.298,4.638,0.082,0.28,17.046,1.197,9.772,1.705,9.3229662344,10.6604145718
2004-03-05,YUM,2.653,0.214,-0.106,0.192,4.018,0.081,0.36,18.059,1.33,9.949,1.924,10.7107787351,10.895447334
2004-04-27,YUM,1.97,0.142,-0.063,0.129,3.777,0.072,0.24,17.486,1.313,9.418,2.059,10.8534771979,10.9662380695
2004-07-20,YUM,2.077,0.178,0.054,0.183,3.464,0.086,0.3,16.339,1.313,8.959,2.191,11.0111241808,11.6002543917
2004-10-12,YUM,2.179,0.185,0.204,0.387,2.952,0.085,0.32,17.12,1.386,8.13,2.584,11.7882149828,13.7778669048
2005-02-28,YUM,2.785,0.235,-0.325,0.062,2.571,0.084,0.4,19.207,1.577,8.911,2.737,13.7468674088,13.5141754463
2005-04-25,YUM,2.054,0.161,0.022,0.118,2.395,0.078,0.28,18.408,1.536,8.18,2.947,13.6158282495,14.6507479381
2005-07-19,YUM,2.153,0.187,-0.005,0.113,2.668,0.087,0.33,19.503,1.633,9.682,2.71,14.8516757155,14.0366447311
2005-10-12,YUM,2.243,0.214,0.15,0.263,2.671,0.095,0.38,17.772,1.534,8.853,2.826,14.1937079937,13.6755509668
2006-03-03,YUM,2.899,0.2,-0.105,0.158,2.932,0.069,0.36,17.589,1.434,9.25,2.627,13.8148653113,14.5008226079
2006-05-02,YUM,2.085,0.17,-0.024,0.134,3.298,0.082,0.31,18.06,1.484,10.469,2.445,14.5920227501,13.0131460169
2006-07-25,YUM,2.182,0.192,0.133,0.267,3.174,0.088,0.35,15.961,1.316,8.815,2.595,13.0788978531,16.6150082497
2006-10-18,YUM,2.278,0.23,0.004,0.271,3.444,0.101,0.43,19.436,1.63,11.591,2.505,16.6465412191,16.4504550995
2007-02-28,YUM,3.016,0.232,0.048,0.319,3.421,0.077,0.42,18.537,1.598,10.629,2.725,16.6516311751,19.2786576961
2007-05-03,YUM,2.223,0.194,0.022,0.341,3.372,0.087,0.36,20.418,1.785,11.867,2.785,19.0995363448,19.8995020625
2007-07-20,YUM,2.367,0.214,0.095,0.436,3.413,0.09,0.41,20.398,1.795,12.18,2.802,19.8066493261,21.5042740656
2007-10-16,YUM,2.564,0.27,0.071,0.507,3.64,0.105,0.52,20.853,1.866,13.345,2.796,21.7373195716,20.3838804736
2008-02-25,YUM,3.262,0.231,0.282,0.789,5.358,0.071,0.46,19.004,1.658,15.167,2.395,21.2495373774,23.9299463056
2008-04-29,YUM,2.408,0.254,-0.325,0.481,17.24,0.105,0.52,19.986,1.827,51.098,0.8,24.0062872386,20.6754815728
2008-07-22,YUM,2.653,0.224,-0.156,0.325,10.729,0.084,0.47,17.116,1.539,28.792,1.242,21.1064667684,17.2276000084
2008-10-14,YUM,2.835,0.282,-0.031,0.294,17.634,0.099,0.6,13.443,1.194,36.398,0.791,17.0032515505,16.8385939377
2009-02-23,YUM,3.383,0.204,-0.078,0.216,-61.435,0.06,0.44,13.097,1.119,-116.899,-0.235,16.4315465194,20.8060853571
2009-04-28,YUM,2.217,0.218,0.073,0.289,36.33,0.098,0.47,16.817,1.407,88.672,0.381,20.3722486512,20.4192759413
2009-07-21,YUM,2.476,0.303,-0.022,0.284,11.431,0.122,0.65,15.465,1.427,27.96,1.194,20.2253837069,21.4129736429
2009-10-13,YUM,2.778,0.334,0.14,0.424,6.2,0.12,0.71,15.422,1.505,16.514,2.115,21.1584900852,20.6013450762
2010-02-17,YUM,3.365,0.216,-0.071,0.353,5.417,0.064,0.46,14.749,1.458,14.179,2.374,20.6381331924,26.5592752318
2010-04-21,YUM,2.345,0.241,0.091,0.444,5.393,0.103,0.51,18.42,1.838,18.041,2.39,26.5654374767,24.7752302033
2010-07-20,YUM,2.574,0.286,0.086,0.53,4.828,0.111,0.61,17.843,1.737,15.675,2.625,25.4875180716,29.4701363268
2010-10-12,YUM,2.862,0.357,0.744,1.274,3.923,0.125,0.76,20.405,2.014,13.661,3.506,29.6683381684,31.4765464315
2011-02-15,YUM,3.562,0.274,0.152,1.426,3.983,0.077,0.57,20.478,2.091,14.208,3.57,31.745630228,33.4578207147
2011-04-26,YUM,2.425,0.264,0.103,1.529,3.533,0.109,0.56,20.57,2.127,13.068,3.993,32.8163361822,34.6506778342
2011-07-19,YUM,2.816,0.316,-0.574,1.255,3.347,0.112,0.67,21.154,2.196,13.568,4.065,34.8465157581,32.1553236419
2011-10-11,YUM,3.274,0.383,0.281,1.536,3.104,0.117,0.82,19.313,1.978,11.469,4.523,32.7744241757,41.6448585478
2012-02-21,YUM,4.111,0.356,-0.038,1.498,3.611,0.087,0.76,22.864,2.388,15.74,4.161,41.8044173928,46.293547122
2012-04-25,YUM,2.743,0.458,-0.099,1.099,3.1,0.167,0.99,22.145,2.589,14.702,4.948,46.6203703367,40.6352648584
2012-07-24,YUM,3.168,0.331,-0.115,0.984,3.101,0.104,0.71,18.723,2.152,12.846,4.885,40.4035047926,45.8075043147
2012-10-16,YUM,3.569,0.471,-0.042,0.942,2.892,0.132,1.02,19.837,2.359,13.974,5.077,45.8915903859,42.3578444562
2013-02-20,YUM,4.153,0.337,-0.166,0.776,2.973,0.081,0.74,18.221,2.134,12.916,4.999,41.9742507765,43.6877454074
2013-04-29,YUM,2.535,0.337,-0.014,0.762,2.768,0.133,0.74,20.602,2.265,12.896,5.242,44.1712771394,47.1065906416
2013-07-16,YUM,2.904,0.281,-0.262,0.5,2.81,0.097,0.62,22.396,2.427,13.977,5.121,46.9818658336,44.1870849623
2013-10-15,YUM,3.466,0.152,0.253,0.753,2.845,0.044,0.34,26.47,2.244,12.966,5.075,43.4345711162,48.7096035221
