Ticker,Sector,CUSIP,Related Tickers,Name,Exchange,Ticker Change Date,Last Updated,Industry,SIC,Currency,First Added,Location,Perma Ticker,Fama Industry,Delisted From,Prior Tickers,Is Foreign
A,Healthcare,00846U101,None,AGILENT TECHNOLOGIES INC,NYSE,None,6/6/17,Medical Laboratories & Research,3826,USD,9/26/14,"CALIFORNIA, U.S.A",196290,Measuring and Control Equipment,None,None,N
AA,Basic Materials,None,None,Alcoa Corp,NYSE,None,5/10/17,Aluminum,3350,USD,9/23/14,"NEW YORK, U.S.A",124392,Steel Works Etc,None,None,N
AABA,Technology,984332106,YHOO,ALTABA INC.,NASDAQ,6/23/17,6/23/17,Internet Information Providers,7373,USD,10/9/14,"CALIFORNIA, U.S.A",197094,Computers,None,YHOO,N
AAC,Healthcare,307108,None,"AAC Holdings, Inc.",NYSE,None,5/5/17,Specialized Health Services,8093,USD,9/11/15,"TENNESSEE, U.S.A",187592,Healthcare,None,None,N
AAL,Services,"02376R102,001765106","AMR,AAMRQ",American Airlines Group Inc.,NASDAQ,None,4/27/17,Regional Airlines,4512,USD,4/14/15,"TEXAS, U.S.A",199960,Shipping Containers,None,None,N
AAMC,Financial,02153X108,None,Altisource Asset Management Corp,OTCMKTS,None,5/9/17,Property Management,6500,USD,3/30/15,"VIRGIN ISLANDS, U.S.",191808,Real Estate,None,None,N
AAME,Financial,48209100,None,ATLANTIC AMERICAN CORP,NASDAQ,None,5/12/17,Life Insurance,6311,USD,9/2/15,"GEORGIA, U.S.A",199933,Insurance,None,None,N
AAN,Services,"2,535,300,002,535,200",None,AARON'S INC,NYSE,None,5/3/17,Rental & Leasing Services,7359,USD,3/19/15,"GEORGIA, U.S.A",198929,Business Services,None,None,N
AAOI,Technology,03823U102,None,"APPLIED OPTOELECTRONICS, INC.",NASDAQ,None,5/9/17,Communication Equipment,3674,USD,9/12/15,"TEXAS, U.S.A",195742,Electronic Equipment,None,None,N
AAON,Industrial Goods,360206,None,AAON INC,NASDAQ,None,5/5/17,General Building Materials,3585,USD,10/14/14,"OKLAHOMA, U.S.A",198259,Machinery,None,None,N
AAP,Services,00751Y106,None,ADVANCE AUTO PARTS INC,NYSE,None,5/24/17,Auto Parts Stores,5531,USD,1/5/15,"VIRGINIA, U.S.A",195735,Retail,None,None,N
AAPC,None,G04897107,None,Atlantic Alliance Partnership Corp.,NASDAQ,None,5/10/17,None,7990,USD,3/23/17,"NEW YORK, U.S.A",124347,Entertainment,None,None,N
AAPL,Consumer Goods,"37,833,100,378,331,000",None,APPLE INC,NASDAQ,None,5/3/17,Electronic Equipment,3571,USD,9/24/14,"CALIFORNIA, U.S.A",199059,Computers,None,None,N
AAT,Financial,24013104,None,"American Assets Trust, Inc.",NYSE,None,5/6/17,REIT - Retail,6798,USD,10/29/14,"CALIFORNIA, U.S.A",192715,Trading,None,None,N
AAWW,Services,49164205,None,ATLAS AIR WORLDWIDE HOLDINGS INC,NASDAQ,None,5/3/17,"Air Services, Other",4522,USD,10/24/14,"NEW YORK, U.S.A",195866,Shipping Containers,None,None,N
AAXN,Industrial Goods,"87651B104,05464C101",TASR,"AXON ENTERPRISE, INC.",NASDAQ,4/21/17,5/10/17,Aerospace/Defense Products & Services,3480,USD,10/23/14,"ARIZONA, U.S.A",196511,Defense,None,TASR,N
AB,Financial,"01881G106,01855A101",None,ALLIANCEBERNSTEIN HOLDING L.P.,NYSE,None,4/27/17,Asset Management,6282,USD,1/18/16,"NEW YORK, U.S.A",198257,Trading,None,None,N
