Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
A,2017-06-06,59.91,73.4845864949,0.226582982722,65.0,2,1,0.796060431423,125.909226705,0.199008291219,0.092777,Health Care
AAL,2017-04-27,50.0,35.0840854868,-0.298318290263,47.0,1,1,0.681294912143,99.3340622808,0.54546048962,0.121633,Industrials
AAP,2017-05-24,110.34,177.45546602,0.608260522205,57.0,5,2,0.94983729472,213.073444633,0.145731312532,0.035205,Consumer Discretionary
AAPL,2017-05-03,150.56,129.420834892,-0.140403593971,62.0,4,1,0.975787526928,615.590659183,0.247342519715,3.697689,Information Technology
ABC,2017-05-04,92.78,109.720073285,0.182583242991,58.0,7,1,0.953593214506,168.324093567,0.155330048529,0.072017,Health Care
ABT,2017-05-03,50.11,74.9303843921,0.495317988268,64.0,3,1,0.912167440651,219.091290925,0.125944910868,0.416223,Health Care
ACN,2017-06-22,128.16,84.1584343547,-0.343333065272,60.0,2,2,0.79883350139,118.144695831,0.293611409339,0.377255,Information Technology
ADBE,2017-06-28,146.2,207.565610411,0.419737417312,65.0,2,1,0.877926543154,231.137247742,0.203266290717,0.349729,Information Technology
ADI,2017-05-31,79.55,257.494606817,2.23689009198,64.0,2,1,0.878063251239,227.830653557,0.138816517344,0.139959,Information Technology
ADM,2017-05-02,41.78,38.8886355266,-0.0692045110917,60.0,2,1,0.889490206839,238.444667582,0.152212752705,0.111474,Consumer Staples
ADP,2017-05-04,115.63,103.031386915,-0.108956266409,64.0,2,1,0.959664139607,750.442806058,0.0954551378523,0.218487,Information Technology
ADS,2017-05-08,240.71,445.972349662,0.852737109641,62.0,5,1,0.925874044171,153.384724251,0.231135092597,0.06297,Information Technology
ADSK,2017-05-31,111.52,261.82572551,1.34779165629,62.0,2,1,0.867397992296,200.511600338,0.244549908687,0.101515,Information Technology
AEE,2017-05-05,56.27,54.2212573262,-0.0364091465046,62.0,5,1,0.791151306573,47.2154959257,0.140463924042,0.063516,Utilities
AEP,2017-07-27,70.67,71.3959989112,0.0102730849189,64.0,3,1,0.955874144299,455.911450698,0.0937453284453,0.159211,Utilities
AES,2017-05-08,11.1,9.75778831144,-0.120919971942,59.0,3,1,0.754536502663,60.429226245,0.242394652175,0.034809,Utilities
